&image(ToY_ロゴ_231125.jpg,x=320)

#slide_img(auto=3,width=320,height=180){ToY_店内_231206.jpg,Toy_店内_1.png,Toy_店内_2.png,Toy_店内_4.png}

#table_style(hover=#ffffff:#fde876)
|BGCOLOR(#fde876):|>|>|BGCOLOR(#ffffff):|BGCOLOR(#fde876):|
|BGCOLOR(#ffffff):|MIDDLE:CENTER:店名|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER:&icon_fa(fa fa-school)|&space()&space()&ruby(トイ){ToY}|BGCOLOR(#ffffff):|
|~|MIDDLE:CENTER:業種|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa fa-graduation-cap)|&space()&space()飲食店：食堂&space()&space()|BGCOLOR(#9370db):~|
|~|MIDDLE:CENTER:開業日|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa-solid fa-calendar-plus)|&space()&space()2023年 11月27日&space()&space()|BGCOLOR(#9370db):~|
|~|MIDDLE:CENTER:所在地|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa fa-map-location-dot)|&space()&space()7183番地|BGCOLOR(#9370db):~|
|~|MIDDLE:CENTER:オーナー|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa fa-black-tie)|&space()&space()[[鳥野　ぎん]]&space()&space()|BGCOLOR(#9370db):~|
|~|MIDDLE:CENTER:店長|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa fa-user fa-fw)|&space()&space()[[ナイチン　ガール]]&space()&space()|BGCOLOR(#9370db):~|
|BGCOLOR(#fde876):|>|>|BGCOLOR(#ffffff):|BGCOLOR(#fde876):|

#region(目次を開く,open)目次
#contents(fromhere=true,level=2)
#endregion
**&font(25px,#FDCFDA){&icon_fa(fas fa-edit)} 基本情報
-学校給食をコンセプトとした食堂で、[[ロスサントス救急救命隊]]の隊員により運営されている。
--給食がメインだが学校や学生に関する商品も取り扱う。救急隊グッズも検討されている。
--漢字テストや実力テストなど、学校っぽさのあるイベントを不定期で開催する。
-店舗名の"ToY"は"Taste of Youth"の略称で"青春の味"という意味。
-居抜き物件の為か、店の看板には「pearls n tea」「珍珠和茶」の文字とタピオカティーの絵が描かれている。
--就職面接の際、「珍珠和茶」の読み方を聞くことが通例になっている。
-支払い方法は従来の請求書の他、店員がレジスターを打つことによりレジスターからの支払いも可能。なお、レジスターの売上は店舗に全額入る。
--店舗用の宿直室を導入することを経営の一つの目標としているため、お店にお金が入るよう基本的にレジスターを使用することとした。
-店内BGMは[[フランシスコ　マグナム]]が制作した”もぐもぐ オルゴールバージョン”。
-1時間に1度チャイムが鳴る。(TVにメニュー表示中)
-11/29から"おかわりジャンケン"サービス開始。注文したグループ内でジャンケンをして勝った1名が給食10個無料でおかわりできるというもの。
-2023年12月6日の公務員の忘年会はここで行った。（なか卯ヘイスト）
-2024年10月27日開催の『みんな寄っTOYで！ピルボックス学園祭』のパブリックビューイングが店舗内にて行われた。

【　追記･編集 歓迎です。 】
**&font(25px,#93c9ff){&icon_fa(fas fa-users)} 従業員情報
***従業員
#region(Season1,open)&font(#444444,b){Season1}
#table_style(head=center:#E0E0E0)
|~役職|~名前|~制服テーマ|~就職日|~備考|h
|&b(){店長}|[[ナイチン　ガール]]|給食のおばちゃん|2023/10/20|ToYの発起人。お客さんの退店時には「お残しは&br()許しまへんで〜」の決まり文句で送り出してくれる。|
|&b(){オーナー}|[[鳥野　ぎん]]|用務員・ウザめの数学教師|2023/10/20|開業の共同出資者|
|店員|[[ももみ>ももみ　マルフォイ]]|授業参観にきた母&br()原付で通勤する学生|2023/10/20||
|店員|[[加賀　イズミ]]|生徒|2023/10/20|メニュー開発・チラシ等のイラスト担当|
|店員|[[命田　守]]|体育教師|2023/10/20||
|店員|[[箱根　しおん]]|用務員|2023/10/20||
|店員|[[ヘスティア　ゴデス]]|生徒|2023/10/20||
|店員|[[葉風邪　ナイ]]|生徒|2023/11/27|臨時バイトで時々お手伝いにくる|
|店員|[[吉田　ユッカ]]|理科教師|2023/11/27||
|店員|[[雷堂　ましろ]]|国語教師|2023/11/27|"熱々"を日本の東海地方の方言で言うことを勧めている|
|店員|[[天羽　よつは]]|保健室の先生|2023/11/27|ToYオリジナル企画のテストを主催している|
|店員|[[赤兎　がみとも]]|校庭の隅で飼っている兎|2023/11/29|公務員兼務のため一時休職中|
|店員|[[神崎　治]]|窓辺で外見ながら音楽聞いてる奴|2023/11/30|面接で問われる「珍珠和茶」の読み方で唯一のガチ正答者|
|店員|[[伊藤　カテジ]]|通学路おじさん|2023/12/01||
|店員|[[橘　かげまる]]|道徳・倫理教師|2023/12/07||
|店員|[[朱雀　愛未]]|同期生徒|2024/04/03||
|店員|[[元難波　登]]|同期生徒|2024/04/03||
|店員|[[サンクチュアリ　たえこ]]||2024/06/28||
//|店員|[[フランシスコ　マグナム]]||2023/12/XX||
//|店員|[[ノビー　ラング]]|ヤンキー|2024/02/XX||
#table_autoincrement()
#table_sorter{even=#F7F7F7,odd=#FFFFFF}
#endregion
//ボスメニューの従業員リストに載っている人を記載（兼業で一時的に抜けてる人も含む）。
//就職日はボスメニューでの雇用日としています。
//日付は29時(am5時)更新として記述しています。
//従業員の変更があれば「参加者一覧」への反映もお願いします
//

***退職者
#region(一覧)閉じる
#table_style(head=center:#E0E0E0)
|~名前|~就職日|~最終出勤日|~備考|h
|[[タシロ　カワセ]]|2023/12/04|2024/02/09|元々の志望である個人医になるため救急隊を退職|
#table_autoincrement()
#table_sorter{even=#F7F7F7,odd=#FFFFFF}
//
//***職業体験者
//#table_style(head=center:#E0E0E0)
//|~名前|~体験開始日|~備考|h
//|[[名　前]]|yyyy/mm/dd||
//#table_autoincrement()
//#table_sorter{even=#F7F7F7,odd=#FFFFFF}
//
#endregion
//

【　追記･編集 歓迎です。 】
**&font(25px,#FDCFDA){&icon_fa(fa-solid fa-box-tissue)} 商品情報
***&u(){&font(18px,#FDCFDA){&icon_fa(fa fa-square)}&space()商品リスト}
- 白市民パスを持っていると安くなる。
#region(Season1)&font(#444444,b){Season1}
#table_style(head=center:#E0E0E0){#=center,種類=center,価格=right,登録者=center,登録日=center,提供開始日=center,備考=12px}
#table_filter(){#=hide,種類=show,価格=show,登録者=hide,登録日=hide,提供開始日=hide,備考=show}
|~#|~種類|~商品名と商品説明|~価格|~登録者|~登録日|~提供開始日|~備考|h
&blankimg(メニュー_23-12-27.webp,x=480,y=270)
#endregion
#region(25/03 ToY全商品表)&b(){25/03 ToY全商品表}
&blankimg(ToY02.webp,x=500,y=270)
#endregion
#region(25/06 ToY全商品表)&b(){25/06 ToY全商品表}
&blankimg(ToY03.webp,x=500,y=270)
#endregion
#region(25/07 ToY全商品表,open)&b(){25/07 ToY全商品表}
&blankimg(Toy05.webp,x=500,y=270)
#endregion
//━━━━━━━━━━━━━━━━━━━━━━━━━━━
***&u(){&font(18px,#93c9ff){&icon_fa(fa fa-square)}&space()商品画像}
#region(一覧)
#region(24/02/14 バレンタイン ToY女子達限定チンロル（ナイチンVer.・ももみVer.・よつはVer.・ヘスティアVer.・イズミVer.・葉風邪Ver.）,open)&b(){24/02/14 バレンタイン ToY女子達限定チンロル（ナイチンVer.・ももみVer.・よつはVer.・ヘスティアVer.・イズミVer.・葉風邪Ver.追加）}
&blankimg(メニュー_バレンタインCHOCO.webp,x=300,y=180)
&blankimg(メニュー_バレンタインCHOCO2.webp,x=300,y=180)
#endregion
#region(24/03/14 ホワイトデー ToY男子達限定チンロル（命田Ver.・かげまるVer.・鳥野Ver.・カテジVer.・ましろVer.・マグナムVer.・神崎Ver.・ヒーロー（ユッカ）Ver.・しおんVer.・がみともVer.）,open)&b(){24/03/14 バレンタイン ToY男子達限定チンロル（命田Ver.・かげまるVer.・鳥野Ver.・カテジVer.・ましろVer.・マグナムVer.・神崎Ver.・ヒーロー（ユッカ）Ver.・しおんVer.・がみともVer.追加）}
&blankimg(メニュー_ホワイトデーCHOCO.webp,x=300,y=130)
#endregion
#region(24/03/28 鼻リッチン・あのこのリコーダー・あのこの使った蛇口・あのこの遅刻食パン,open)&b(){24/03/28 鼻リッチン・あのこのリコーダー・あのこの使った蛇口・あのこの遅刻食パン}
//&blankimg(,x=500,y=270)
#endregion
#region(誕生日プレゼントToY,open)&b(){24/05/08 鬼ちりまん,24/09/11 ゴデスバット,24/11/27 ももみのぷんぷん糊}
&blankimg(誕生日プレゼントToY.webp,x=300,y=150)
#endregion
#region(24/09/03 なかよしとはんぶんこアイス～夢と希望の味～（レモン）・なかよしはんぶんこアイス～汗と涙の青春の味～（ソーダ）・なかよしはんぶんこアイス～初恋の味～（ピーチ）,open)&b(){24/09/03 なかよしとはんぶんこアイス～夢と希望の味～（レモン）・なかよしはんぶんこアイス～汗と涙の青春の味～（ソーダ）・なかよしはんぶんこアイス～初恋の味～（ピーチ）}
&blankimg(なかよしはんぶんこアイス.webp,x=300,y=170)
#endregion
#region(24/10/27 サイリウムわたあめ,open)&b(){24/10/27 「サイリウムわたあめ」ブルー・ピンク・イエロー・レインボー}
//&blankimg(,x=500,y=270)
#endregion
#region(24/11/27 チンロルガチャ（救急隊のメンバー） ,open)&b(){24/11/27 チンロルガチャ（救急隊のメンバー）}
&blankimg(メニュー_CHOCOガチャ.webp,x=300,y=170)
#endregion
#region(24/12/20 ToYのクリスマスケーキ（クリームとチョコ）、ナ印のおしることナ印のコンポタ,open)&b(){24/12/20 ToYのクリスマスケーキ（クリームとチョコ）、ナ印のおしることナ印のコンポタ}
|&blankimg(メニュー_24.12.jpeg,x=210,y=270)|&blankimg(メニュー_24.12_2.jpeg,x=210,y=270)|
#endregion
#region(24/12/26 ToY男子達限定チンロル（登Ver.） ,open)&b(){24/12/27 ToY男子達限定チンロル（登Ver.追加）}
//&blankimg(,x=500,y=270)
#endregion
#region(25/01/08 あんこ餅、きなこ餅、つきたてのお餅、海苔巻き餅、いちご大福、こどもビール、甘酒 ,open)&b(){25/01/08 あんこ餅、きなこ餅、つきたてのお餅、海苔巻き餅、いちご大福、こどもビール、甘酒}
//&blankimg(,x=500,y=270)
#endregion
#region(25/2/14 本命チョコ、友チョコ、義理チョコ,open)&b(){25/2/14 本命チョコ、友チョコ、義理チョコ}
&blankimg(https://stgr-r2.libhalt.net/images/de777711-4cc1-4816-8721-ac3468f2d077.png,x=210,y=270)
#endregion
#region(25/03/16 「ドリームバルーン」ブルー・ピンク・イエロー,open)&b(){25/03/16 「ドリームバルーン」ブルー・ピンク・イエロー}
//&blankimg(,x=500,y=270)
#endregion
#region(25/06/25 うさぎさんお弁当、くまさんお弁当、天羽よつはお弁当、鳥野ぎんお弁当,open)&b(){25/06/25 うさぎさんお弁当、くまさんお弁当、天羽よつはお弁当、鳥野ぎんお弁当}
&blankimg(お母さんが作ったお弁当.webp,x=300,y=300)
#endregion
#region(25/07/13 熱々じゃないやかん麦茶、ストドリ,open)&b(){25/07/13 熱々じゃないやかん麦茶、ストドリ}
&blankimg(ToY04.jpg,x=210,y=300)
#endregion
#region(25/07/17 命田守お弁当 追加Ver.,open)&b(){25/07/17 命田守お弁当 追加Ver.}
&blankimg(お母さんが作ったお弁当_2.png,x=300,y=300)
#endregion
#co{
#region(日付 タイトル,open)&b(){日付 タイトル}
&blankimg(画像名,x=500,y=500)
#endregion
}
#endregion(商品画像一覧)
//━━━━━━━━━━━━━━━━━━━━━━━━━━━
***&u(){&font(18px,#FDCFDA){&icon_fa(fa fa-square)}&space()チラシ画像}
#region(一覧)
#region(23/11/27 オープンチラシ)&b(){23/11/27 オープンチラシ}
&blankimg(ToY_オープン.webp,x=480,y=270)

#endregion
#region(23/12/24 チラシ（年末漢字テスト）)&b(){23/12/24 チラシ（年末漢字テスト）}
&blankimg(年末漢字テスト.webp,x=241,y=341)

#endregion
#region(24/10/27 チラシ（みんな寄っToYで！ピルボックス学園祭）)&b(){24/10/27 チラシ（みんな寄っToYで！ピルボックス学園祭）}
&blankimg(https://stgr-r2.libhalt.net/images/5ff8601a-f682-4793-8fa8-42d36cb5e7be.png,x=241,y=341)

#endregion
#region(25/03/08 チラシ（実力テスト）,open)&b(){25/03/08 チラシ（実力テスト）}
&image(学力テスト.jpeg,x=241,y=341)

#endregion

【　追記･編集 歓迎です。 】
#endregion(画像一覧)

**&font(25px,#93c9ff){&icon_fa(fa-solid fa-book-open)} 沿革
***2023年
#region(詳細,close)閉じる
#table_filter(){日付=show,出来事=show,備考=show}
#table_style(head=center:#E0E0E0){日付=right}
|~日付|~出来事|~備考|h
|10/20|経営権譲受・開業準備開始||
|11/27|"ToY"開業|[[ストグラ運営ポスト(ツイート)　開業告知>>https://x.com/stgr_roleplay/status/1729103001141510418]]|
|12/06|公務員忘年会開催|(なか卯ヘイスト実施)|
#table_sorter{even=#F7F7F7,odd=#FFFFFF}
#endregion
***2024年
#region(詳細)閉じる
#table_filter(){日付=show,出来事=show,備考=show}
#table_style(head=center:#E0E0E0){日付=right}
|~日付|~出来事|~備考|h
|09/07|イベント出店|[[茶担えり>>茶担　えり]]主催「ロスサントス花火大会2024」にて販売を行う。|
|10/27|イベント主催・出店&br()パブリックビューイング|[[ピルボックス病院>>ロスサントス救急救命隊]]・[[橘 かげまる>橘　かげまる]]主催「みんな寄っTOYで！ピルボックス学園祭」に出店。&br()またToY店舗内にて救急隊ライブのパブリックビューイングを行う。|
|11/26|飲食店アップデート|販売商品の調整を行う。&br()[[鳥野　ぎん]]・[[加賀　イズミ]]・[[天羽　よつは]]が対応した。|
#table_sorter{even=#F7F7F7,odd=#FFFFFF}
#endregion(2024年)
***2025年
#region(詳細,open)閉じる
#table_filter(){日付=show,出来事=show,備考=show}
#table_style(head=center:#E0E0E0){日付=right}
|~日付|~出来事|~備考|h
|01/11|餅つき大会|[[ピルボックス病院>>ロスサントス救急救命隊]]・[[天羽 よつは>>天羽　よつは]]主催 お餅の提供に協力|
|03/16|&small(){ドリームバルーンフェスティバル}|[[ピルボックス病院>>ロスサントス救急救命隊]]・[[天羽 よつは>>天羽　よつは]]主催のイベントにて出店|
#table_sorter{even=#F7F7F7,odd=#FFFFFF}

#endregion(2025年)
#hr(height=2,color=#93c9ff)
【　追記･編集 歓迎です。 】

#right(){&link_up(△ページTOPへ)}
