#region(2025年)
&bgcolor(#ffffff){&bold(){&big(){2025年}}}
#table_filter(){日付=show,出来事=show,切り抜き=hide,関係者=hide,備考=show}
#table_style(head=center)
|BGCOLOR(#FF681F):~&color(#ffffff){日付}|BGCOLOR(#FF681F):~&color(#ffffff){出来事}|BGCOLOR(#FF681F):~&color(#ffffff){切り抜き}|BGCOLOR(#FF681F):~&color(#ffffff){関係者}|BGCOLOR(#FF681F):~&color(#ffffff){備考}|h
|~|~半グレ組織「MO LIMIT」発足|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch①}>>https://youtu.be/AFoECb8I2Po?si=IuXllOiOeLGZaVlI]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch②}>>https://youtu.be/ltHFAqj1twM?si=TwJ0agsO1torVz2I]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch③}>>https://youtu.be/gdhqbUMKaIY?si=4ynlz6PTjOwjckvR]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch④}>>https://youtu.be/ePkZq83nPTc?si=IpFfMnwPwVMktUqN]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch⑤}>>https://youtu.be/sK38mGCt47g?si=6hFy6JhWSHIvmulM]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch⑥}>>https://youtu.be/HBx-7fla2hY?si=n50ZGCYYWOzXd5Z_]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch⑦}>>https://youtu.be/JpCXEFQRCrc?si=4LJJ5BQex0pC6ZD2]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch⑧}>>https://youtu.be/OP2rB9hJ7EA?si=BNpCCeVw9bteN12c]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch⑨}>>https://youtu.be/iRVqgr5ZHpE?si=5YnKw715gZAg-EGY]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch⑩}>>https://youtu.be/2J3A1TzFJ2o?si=4-6_eJ-R2mnYe-IW]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch⑪}>>https://youtu.be/ne5UNsdrGC8?si=AXV6XloiGsWw8kEv]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch①}>>https://youtu.be/_aBXxOZmW0Q?si=FPBiO5dCz7QDVxzV]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch②}>>https://youtu.be/9MP7F9foOJQ?si=LtkgH6P-DoB8NhZY]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch③}>>https://youtu.be/m0Hj7hbeX3Y?si=cs4aSmJ2UPJBqT6e]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch④}>>https://youtu.be/40YcAL-qJW4?si=RlMJWNBladMmbLWg]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch⑤}>>https://youtu.be/x-C9ZE6lL5o?si=CNVNRln6WH6LsGcM]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch⑥}>>https://youtu.be/QBHa8yGJyjs?si=rWHwfUljyq8YF2jE]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch⑦}>>https://youtu.be/KISarDLyzu4?si=Y-6F7go07HqH4Uhb]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けっつんch}>>https://youtu.be/0nrZtCW_zEE?si=R7i1PnnuDsKM95o4]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch①}>>https://youtu.be/LMMFNPouOcE?si=hTEfYEzpXnI0GXof]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch②}>>https://youtu.be/tACQg8hMSdI?si=Qkfqc8xaiV8tOBA4]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch③}>>https://youtu.be/a9QgRoRgXdU?si=nMLxeLcXXyQV1e-Z]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch④}>>https://youtu.be/wrzXFMBHjxo?si=mhZGCQJK-xrGpcyK]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch①}>>https://youtu.be/kRv76ZEX9pQ?si=ExfWuv4_1_5eUBjr]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch②}>>https://youtu.be/4NpiOk11Db4?si=Op3U2eD3c_RnFRNU]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch③}>>https://youtu.be/xp4Tfhz0FkE?si=NGnBX2ObcWhKQEyI]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch④}>>https://youtu.be/qTR4X0HFE8s?si=WNJ7RDMMWaL66Vfh]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch⑤}>>https://youtu.be/ruP8KfYojJA?si=VOA6pDyQ1TR8mIES]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){みなみてってch①}>>https://youtu.be/Om_D8HoXJVM?si=XfNOOo6cK-6l1s_y]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){みなみてってch②}>>https://youtu.be/1Cu9o_jhzaU?si=7zd96jrNJpKOftMm]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){みなみてってch③}>>https://youtu.be/CIZsxQcPBRk?si=P_e-s6MmOS2PwwiC]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch}>>https://youtu.be/-emeCz27few?si=zEwiDzPRTS7GDAHN]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch①}>>https://youtu.be/3SWk6RlfNk8?si=rAr5xFeW-aCsFVk7]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch②}>>https://youtu.be/qJIxtSW3Juk?si=iRqipnuIAc7My03f]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch③}>>https://youtu.be/4DluH5xfLdk?si=V70D3NOFT5kG4Vba]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch④}>>https://youtu.be/6TGv_IgkXC4?si=mLi_vb7d6Xg1jBKg]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch⑤}>>https://youtu.be/Ey72fZywluI?si=WsftfPSamwCZtyZe]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch⑥}>>https://youtu.be/bipDlSy-rHg?si=LXTQpOSXsjYe1BiR]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch⑦}>>https://youtu.be/NrcaZ82M1Jo?si=1qHuLc7RqoJ5ST8V]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch⑧}>>https://youtu.be/G7Li4bk7l6A?si=0tnqLt0ffJO3_jkA]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){にごんごch①}>>https://youtu.be/RWvmOutY9mI?si=nr5hFH96C4bSI9sV]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){にごんごch②}>>https://youtu.be/lrQLCAvNhTg?si=MlW72fu8EKJ4C3Ix]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch①}>>https://youtu.be/39bTX6kvXPY?si=YBqaHaHfoP0FqcKA]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch②}>>https://youtu.be/xo2m6-znU5k?si=86lT3VIQGjKh_zvm]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch③}>>https://youtu.be/PtyKJPUhaTw?si=-bsliz8OrTWPUacK]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch④}>>https://youtu.be/fkbtynbMd5o?si=zg7tgyX4BQZlEBNG]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch⑤}>>https://youtu.be/eq_1a2y_FRE?si=ssnErMQeJZwhCNky]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch⑥}>>https://youtu.be/N_O0RWZ1dyI?si=D2G-eD5ZCeBUfwS8]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かんせるch①}>>https://youtu.be/MpWi8SfxLaM?si=vfGz6DhI-Dmxy-jF]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かんせるch②}>>https://youtu.be/XcZ7AvsHOxI?si=cTRKvKYiZmA_Jr2P]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch①}>>https://youtu.be/0QiaxEb_fmY?si=PTDaax6zjcvNnllV]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch②}>>https://youtu.be/Sk5RNpLSxEQ?si=VktporeaUPuxhN97]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch③}>>https://youtu.be/0MvQ46NtaLQ?si=A90ZC4HUEnk9VqAw]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch④}>>https://youtu.be/K48c4FdgQXI?si=wD5dTmd6-z5CS4xX]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch⑤}>>https://youtu.be/c3CKP434K0c?si=dt11g4UyHiOrFN8Q]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch⑥}>>https://youtu.be/BPLAWDQNKeQ?si=QzFKIhfScL6HLDOQ]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch⑦}>>https://youtu.be/_W-UneW0Mpw?si=0bB5DRqlBa_zwkKn]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch①}>>https://youtu.be/tD3es7N7iq0?si=mQJ72QEzuGvK2ri6]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch②}>>https://youtu.be/fNyRi7LrXFw?si=ui2GY1eolTdpvYtJ]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch③}>>https://youtu.be/vsUFvu4baVM?si=VuPV6tar3BV-U8Vy]]|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[丘猫 まる>>丘猫　まる]]&br()[[けっつん 太郎>>けっつん　太郎]]&br()[[しょうがく SAY>>パス　トバリ]]&br()[[ようち えんじ>>パス　ヒソカ]]&br()[[アルバート ポンデリン>>Albert　Pondering]]&br()[[チンピラ>>Lv.〇　チンピラ]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[なんば てって>>なんば　てって]]&br()[[髭野 たけーら>>髭野　たけーら]]&br()[[冬那 ふな>>冬那　フナ]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[ura ipura]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]&br()[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]&br()[[飯田 けんつ>>飯田　けんつ]]|抗争に負けた落とし前として1週間半グレとして生活をすることになった。この1週間で全員1億円稼いで組織に納めることをノルマとした。|
|~5月24日|~ギャング[[NO LIMIT]]活動再開|-|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[丘猫 まる>>丘猫　まる]]&br()[[けっつん 太郎>>けっつん　太郎]]&br()[[しょうがく SAY>>パス　トバリ]]&br()[[ようち えんじ>>パス　ヒソカ]]&br()[[アルバート ポンデリン>>Albert　Pondering]]&br()[[チンピラ>>Lv.〇　チンピラ]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[なんば てって>>なんば　てって]]&br()[[髭野 たけーら>>髭野　たけーら]]&br()[[冬那 ふな>>冬那　フナ]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[ura ipura]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]&br()[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]&br()[[飯田 けんつ>>飯田　けんつ]]|24:00をもって1週間の半グレ期間が終わりギャング活動が再開。|
|~|~[[シャンプロ>>シャンクズプロモーション]]社内カラオケ大会|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/CEErUWfEzRQ?si=D50r7J-75KZoH2ia]]|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[チンピラ>>Lv.〇　チンピラ]]&br()[[なんば てって>>なんば　てって]]&br()[[冬那 ふな>>冬那　フナ]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]&br()[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]&br()[[葵井 優>>葵井　優]]&br()[[さとう・ざ・ろっく>>さとう]]&br()[[くまの ふでこ>>くまの　ふでこ]]|かねてより企画されていたカラオケ大会が[[ふでこ>>くまの　ふでこ]]主催で実施された。&br()&openclose2(show=セットリスト){&br()優：『ブルーバード』(いきものがかり)&br()ヤバッキオ：『変わらないもの』(奥華子)&br()ヨシャパテ：『限界突破×サバイバー』(氷川きよし)&br()れお：『スパークル』(RADWIMPS)&br()セイジ：『リライト』(ASIAN KUNG-FU GENERATION)&br()ふでこ：『いつも何度でも』(木村弓)&br()優：『気まぐれロマンティック』(いきものがかり)&br()ヤバッキオ：『じれったい』(安全地帯)&br()ヨシャパテ：『鱗』(秦基博)&br()カイキ：『アンパンマンのマーチ』(ドリーミング)&br()てって：『ドラえもんのうた』(大杉久美子)&br()セイジ：『ルパン三世のテーマ』(水木一郎)&br()るい子：『冬の日』(放課後ティータイム)&br()れお：『最後の雨』(中西保志)&br()ふでこ：『SAD SONG』(ちゃんみな)}|
|~5月25日|~人事改革|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/6uZaNexqkBg?si=wWROac_p0auG5ii6]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch}>>https://youtu.be/t-g7Ri9OqtY?si=04XRcwHn06NX3CQW]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch}>>https://youtu.be/X6GcbO2BUY0?si=J_GMwYqpvkkzybLO]]|~[[NO LIMIT]]|新たな階級制度が設けられた。|
|~|~[[飯田 けんつ>>飯田　けんつ]]正式採用|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch}>>https://youtu.be/jIx6ljH4Xw8?si=3JTISLxYiOM4ABnM]]|~[[飯田 けんつ>>飯田　けんつ]]|新人事発表会議にて正式採用となった。|
|~5月29日|~シニアアンダーボス総選挙|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/S6kbq3gAVKU?si=SJC4k9jBMtPc0VD1]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych}>>https://youtu.be/Qc-8h3QL5G8?si=TgQ_V2TCMkcsGQKp]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch}>>https://youtu.be/WFuo4y1VelA?si=cNC5h3kzFbe9kgij]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){みなみてってch}>>https://youtu.be/UcTIoFEaBFc?si=n5QRMLSbO6cQtNwD]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/ZsX1fmhiq78?si=LT8ajHsEw81bNglI]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch}>>https://youtu.be/FqixzrB6VWg?si=cy2GnIGpBTIwrdj4]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch}>>https://youtu.be/J9Fser5nEHI?si=wCBIdvBXOO0xgYya]]|~[[けっつん 太郎>>けっつん　太郎]]&br()[[しょうがく SAY>>パス　トバリ]]|全構成員の新役職発表。新たに設けられた組織NO.2枠を総選挙で[[けっつん 太郎>>けっつん　太郎]]と[[しょうがく SAY>>パス　トバリ]]に決定。会議後に半グレ期間中のノルマ１億を回収。|
|~6月12日|~第1回NO LIMITトライアスロンレース開催|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://www.youtube.com/watch?v=JqmH5Xq7bbo&t=680s]]|~[[丘猫 まる>>丘猫　まる]]&br()[[ようち えんじ>>パス　ヒソカ]]&br()[[チンピラ>>Lv.〇　チンピラ]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[ura ipura]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]&br()[[飯田 けんつ>>飯田　けんつ]]|車・ヘリ・バイクの3種の乗り物を使うチームレース。3人の合計タイムで競った。|
|~6月13日|~[[餡ブレラ>>anbrella(餡ブレラ)]]解散に伴うシマ譲渡|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych}>>https://youtu.be/TVs17kxDlko?si=hksTP3_uvnRUffSw]]|~[[餡ブレラ>>anbrella(餡ブレラ)]]&br()[[しょうがく SAY>>パス　トバリ]]&br()[[ハク ナツメ>>ハク　ナツメ]]|餡ブレラの解散に伴い、ボスに代わってSAYとナツメがウェスカーから[[9055]]を含む島『Rancho』を譲り受けることが決まった。|
|~7月5日|~第2回NO LIMITトライアスロンレース開催|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/p4F5ijsvHlo?si=m86uwyvfoEaafhXG]]|~[[けっつん 太郎>>けっつん　太郎]]&br()[[冬那 ふな>>冬那　フナ]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[ura ipura]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]&br()[[飯田 けんつ>>飯田　けんつ]]&br()[[伊達咲 政宗>>伊達咲　政宗]]|ヘリ・バイク・車の3種の乗り物を使うチームレース。3人の合計タイムで競う。[[謎の実況者>>悠　えん]]に実況依頼をし、シニアアンダーボス許可の下賞金10億円が支給された。|
|~|~[[伊達咲 政宗>>伊達咲　政宗]]仮採用決定|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch①}>>https://youtu.be/XYWc8b4a2yk?si=IjtJ5nIG5toGg1gr]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch②}>>https://youtu.be/FrqkYjz-P7U?si=TLKh-SREYw8ASWvD]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch①}>>https://youtu.be/Xl2vdSNXg9c?si=R3Gf6JVKrne6-oZu]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch②}>>https://youtu.be/rJExrD_XtNk?si=50rq83CZfRX8oyZZ]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch}>>https://youtu.be/VS8OpSBBJwU?si=Mnk7h5Vbk789W01M]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){にごんごch}>>https://youtu.be/N6j4MdVv0bg?si=7PtftrzTaRdbNetb]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch}>>https://youtu.be/JXL8QP6BcuI?si=RemUTrp_PBDigSdz]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){だって政宗ch}>>https://youtu.be/x2v3dfJ5LbU?si=YUQmVAtCtzKs888O]]|~[[伊達崎 政宗>>伊達崎　政宗]]|[[餡ブレラ>>anbrella(餡ブレラ)]]解散を知ったシャンクズが即日勧誘。考える時間を取った後、7月1日にチーフUBちのに加入の意志を伝えた。&br()シニアUBの承諾を得て無線に合流、その日のうちにシャンクズに会うことができたため加入決定。翌日に仮採用決定が伝えられた。|
|~7月22日|~ギャング抗争|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/8ySCy7jQrgQ?si=a6lzvvDDR4TEA2Ld]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch}>>https://youtu.be/gqamuU04iHw?si=VblEfMQDXoLngz1P]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/ePGgHaom3jY?si=WgucdkE9rwmKY-Sz]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){せるふぃch}>>https://youtu.be/79OTgnsLpbY?si=BZ7_-ypBxjdM9VPF]]|~[[MOZU]]&br()[[GoodbyeCircus]]&br()[[NOLIMIT]]&br()[[hantasma]]&br()[[Trickster]]&br()[[DERAY]]&br()[[RqteL]]|[[ジョーカー>>半沢　直ふぃ]]から他ギャングも巻き込んで[[Trickster]]保有のシマをかけた抗争を持ち掛けられ、即日実施を提案し実現した。|
|~7月23日|~[[MOZU]]との抗争中止|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/ZkMAvPHBJvs?si=t994AUdIQlC33pGL]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch}>>https://youtu.be/38YvJ6EesXs?si=8AH0iZ_OBYPhxRr8]]|~【[[NO LIMIT]]】&br()【[[MOZU]]】|4月末にMOZUがNO LIMITのテリトリーの中でクスリを売ったことを火種とした抗争であったが&br()日程やルールの調整などがあまりにも長引いたことを受けてシャンクズ側から中止を申し入れた。|
|~7月24日|~組織内抗争|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch}>>https://youtu.be/2e_7gzsA39Q?si=NDT_f6hOPjkU5nF2]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けっつんch}>>https://youtu.be/FTxyfj8dvcg?si=rTa5PfCnuoHp_Kvy]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych}>>https://youtu.be/9rUfLNOnHm4?si=gT3Uu54Izi4_WXNM]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){みなみてってch}>>https://youtu.be/xlczYDExcSM?si=qFtx06Q7xyzoegLe]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch}>>https://youtu.be/4txIgPkmXkE?si=N68LgVkVbPPaAIsz]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/HhyFULN67DI?si=V79U46zPdwRgmrDL]]|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[丘猫 まる>>丘猫　まる]]&br()[[けっつん 太郎>>けっつん　太郎]]&br()[[しょうがく SAY>>パス　トバリ]]&br()[[ようち えんじ>>パス　ヒソカ]]&br()[[アルバート ポンデリン>>Albert　Pondering]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[なんば てって>>なんば　てって]]&br()[[髭野 たけーら>>髭野　たけーら]]&br()[[冬那 ふな>>冬那　フナ]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[飯田 けんつ>>飯田　けんつ]]&br()[[伊達咲 政宗>>伊達咲　政宗]]|予定されていた[[MOZU]]との抗争が白紙になったことをきっかけに30億をかけた組織内抗争が行われた。|
|~7月31日|~vs.[[Trickster]]抗争③|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){せるふぃch}>>https://youtu.be/K_uAifdIfHU?si=004NLz-qZ-7jbDBi]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch}>>https://youtu.be/TGX7uRa7RZU?si=Zn0v9Y-UTk_w52rB]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){みなみてってch}>>https://youtu.be/_rJWvNU1HSA?si=QYjuW2zJ6NzMzeAW]]|~[[飯田 けんつ>>飯田　けんつ]]&br()[[なんば てって>>なんば　てって]]&br()[[ジョーカー>>半沢　直ふぃ]]|ギャング解散後に街を去ると宣言していたジョーカーの街残留と、ノーリミ側のキャラエンドをかけた抗争をその日起きていたメンバーで行い勝利した。|
