//
//親ページが容量オーバーになった為にページを分けました
//
***Season1
#region(2023年・2024年)
#table_style(head=center:#ffc0cb,hover=#ffe0e0:#333){動画内日付=center}
|~動画内日付|~タイトル|h
|25/09/04|[[迷走中の上田に麻陀羅組設立の歴史と「ギャングボスとは」を伝えるタラちゃん>>https://www.youtube.com/watch?v=-LKcfH4vbGM]]|
|25/09/04|[[MOZUの解散とヴァンダーマーが街からいなくなった報告を受けるタラちゃん>>https://www.youtube.com/watch?v=TlIKt2ephik]]|
|25/09/05|[[上田ギャングに狙われ続けるカジノの在り方をオーナーの咲夜と語るタラちゃん>>https://www.youtube.com/watch?v=n6rAdt_gJSo]]|
|25/09/06|[[NOLIMITをクビになったけんつがトップギア状態で爆笑するタラちゃん>>https://www.youtube.com/watch?v=LCL2H0vHYP4]]|
|25/09/06|[[本音の対談で上田という人物の本質を知り同じ街の住人として本音を伝えるタラちゃん>>https://www.youtube.com/watch?v=gzw-ALEIZ08]]|
|25/09/07|[[遂に上田と咲夜の対談!!護衛として同行し始終を見守るタラちゃん>>https://www.youtube.com/watch?v=KNcy-QYNnOI]]|
|25/09/12|[[麻陀羅組に加入希望者が!?警察署で始まる地獄の大喜利に参加するタラちゃん>>https://www.youtube.com/watch?v=Pj0jUgxSgEA]]|
|25/09/14|[[狂気？幽霊？SF？再会を果たした？鬼野ねねとタラちゃん親子のバカ楽しくてちょっぴり切ない奇跡の一日>>https://www.youtube.com/watch?v=of9kBJlAySo]]|
|25/09/18|[[ピエロで大騒ぎしてる街でピエロの格好してみたら市民に撃ち〇されたギャングボスおじさん達の珍道中>>https://www.youtube.com/watch?v=3wF_nQ1-46k]]|
|25/09/19|[[街の脅威ダークかな市長補佐を〇乳いじりした結果とんでもない目にあうタラちゃん>>https://www.youtube.com/watch?v=GHZwjvsdx08]]|
|25/09/20|[[タラちゃん検定開催!!予想外の展開の応酬にカオス空間と化す会場に絶叫するタラちゃん>>https://www.youtube.com/watch?v=9bQfl0EJYqg]]|
|25/09/21|[[新たな体験が入り喜んだりキャップの神グレに歓喜する麻陀羅組とタラちゃん>>https://www.youtube.com/watch?v=E1oaxq6F5_w]]|
|25/09/22|[[一人のピエロとの出会いによって麻陀羅組の方針を大きく変えたタラちゃん>>https://www.youtube.com/watch?v=gWA3sA5spuY]]|
|25/09/23|[[雷堂ましろを救う為がむしゃらに奔走するタラちゃんと全力で協力してくれる最高な街の住人達とのあったけぇ物語>>https://www.youtube.com/watch?v=nEZGJxpwU5k]]|
|25/10/01|[[渡戸リーの店で数々の黒い証拠を収集し街の在り方について語るタラちゃん>>https://www.youtube.com/watch?v=1GahTWGcWaw]]|
|25/10/02|[[再会を果たした無馬かなとタラちゃんが語る鬼野ねねの最期>>https://www.youtube.com/watch?v=f7LkGLJten8]]|
|25/10/03|[[街最期の日に一蓮托生でヘリに乗り巨大ピエロに突貫する麻陀羅組>>https://www.youtube.com/watch?v=S0lBQWV5WIg]]|
|25/10/04|[[麻陀羅組破産危機の切り札シチュエーションボイスを制作し販売した購入者からの強火過ぎる感想にドン引きするタラちゃん>>https://www.youtube.com/watch?v=8EFQp1_cb40]]|
#table_sorter{even=#fefafb,odd=fff}
#endregion(2025年)
//==========================================================================================
***Season2
#region(2025年)2025年
#table_style(head=center:#ffc0cb,hover=#ffe0e0:#333){投稿日=center}
|~投稿日|~タイトル|h
|25/12/20|[[新シーズン初日に大犯罪!?高橋滅論を洗脳しアイドル化という名の悪徳プロダクション詐欺にかけるタラちゃんと最凶組織麻陀羅組>>https://www.youtube.com/watch?v=Kzez-u7jr20]]|
|25/12/28|[[文月夏苗にイタ電して〇〇〇したら街史上最速プリズンと独房を体験するハメになったタラちゃん>>https://www.youtube.com/watch?v=xNRjPY2aRdA]]|
|25/12/29|[[記憶喪失の無馬かなに低俗な嘘を吹き込んだら自分でツボって〇にかけるタラちゃん>>https://www.youtube.com/watch?v=Jzzy9ryv3H0]]|
|25/12/31|[[小峯から力を持つ覚悟を説かれ新たな知見を得る陽影空とケバブ屋で全然接客が出来ないタラちゃん>>https://www.youtube.com/watch?v=vxgyD89iNmE]]|
#table_sorter{even=#fefafb,odd=fff}
#endregion(2025年)
//==========================================================================================
#region(2026年,open)2026年
#region(1月)1月
#table_style(head=center:#ffc0cb,hover=#ffe0e0:#333){投稿日=center}
|~投稿日|~タイトル|h
|26/01/01|[[新犯罪始動！悪徳プロダクション詐欺で高橋滅論から金を巻き上げるキメ太郎とタラちゃん>>https://www.youtube.com/watch?v=T4sngS4CUAU]]|
|26/01/06|[[悪徳プロダクション詐欺に助っ人鮫島フラム参戦！天才的な手腕で高橋滅論をおだてる様を見て笑い転げるタラちゃん>>https://www.youtube.com/watch?v=kbXszmqPDe4]]|
|26/01/07|[[高橋滅論アイドル化計画(詐欺)に最強ボイストレーナー達が続々参戦！有料級の指導に爆笑が止まらないタラちゃん>>https://www.youtube.com/watch?v=xln9LdB8Vng]]|
|26/01/09|[[エセ占い師達とスピりまくって高橋滅論を洗脳しギャングから改心させるタラちゃん>>https://www.youtube.com/watch?v=mkcPr2K8b3M]]|
|26/01/14|[[小峯と街の情勢を語ったりケバブ屋でバイトするギャングボスとして店員達の黒堕ちを防ぎたいタラちゃん>>https://www.youtube.com/watch?v=fEouJmmGcEE]]|
|26/01/15|[[たまたまその場に居合わせた人達で高橋滅論を騙しまくるタラちゃんと神曲を作ってきてくれたキメ太郎>>https://www.youtube.com/watch?v=S1CFg9Vjjug]]|
|26/01/16|[[遂にオリジナル曲まで完成させた悪徳プロダクション詐欺に超新星助っ人が参戦して爆笑するタラちゃん>>https://www.youtube.com/watch?v=0spNkBe97qc]]|
|26/01/17|[[ライブのオーディションに挑む高橋滅論を見守る人が多すぎて爆笑するタラちゃん>>https://www.youtube.com/watch?v=3sGOw967d7Q]]|
|26/01/19|[[裏社会で話題のぼったくりキャバクラに潜入し地獄絵図に爆笑するもガッツリぼったくられるタラちゃん>>https://www.youtube.com/watch?v=Va8j8nlObJ8]]|
|26/01/20|[[ぼったくり店を襲撃し犯人を射◯した後ガッツリ詰めて真意を聞き出す麻陀羅組とは一味違うタラちゃん>>https://www.youtube.com/watch?v=23QdfL-_QCA]]|
|26/01/20|[[日々の能力や特殊な人生を知り麻陀羅組に勧誘するタラちゃん>>https://www.youtube.com/watch?v=SaIOCW4pRPs]]|
|26/01/22|[[トウユンと無茶ぶり強盗を楽しんだりジョアンナにダンス講師を頼んだり妻垣さすらいという新しい才能に出会うタラちゃん>>https://www.youtube.com/watch?v=MCUEhla0A-Y]]|
|26/01/23|[[キャバクラ襲撃事件後すごいタイミングで報復襲撃？を受けるオナラ上手な不働めいとタラちゃん>>https://www.youtube.com/watch?v=lthHO2nOYWM]]|
|26/01/24|[[ぼったくりキャバクラ襲撃事件当時をトウユンと語りギャングとしての理念を語るタラちゃん>>https://www.youtube.com/watch?v=PARwq415rO8]]|
|26/01/24|[[悪徳プロデューサー詐欺してたら本気でプロデュースを望む子が現れて焦り散らすタラちゃん>>https://www.youtube.com/watch?v=-G8zutEH7SA]]|
|26/01/25|[[幻の淫◯降臨？立ち◯ぼをナンパしたらとんでもない目に遭ったタラちゃん>>https://www.youtube.com/watch?v=NiucxSTN6HQ]]|
|26/01/26|[[デビュー前日に歌が壊滅的なことが判明したアイドルに絶望するタラちゃん>>https://www.youtube.com/watch?v=e0u4B6J3bXU]]|
|26/01/28|[[モンプロ主催ライブに迫りくる記者ヤバッキオに焦り最高のライブに感動するタラちゃん>>https://www.youtube.com/watch?v=iUKXwqDYLBg]]|
|2026/01/28|[[モンプロ主催ライブに迫りくる記者ヤバッキオに焦り最高のライブに感動するタラちゃん >>https://www.youtube.com/watch?v=iUKXwqDYLBg]]|
|2026/01/29|[[868に情報を共有するタラちゃんと鯵屋の独特な空気感で行く珍道中 >>https://www.youtube.com/watch?v=tMiCiVoO16Q]]|
|2026/01/30|[[868に情報を共有してたつもりが3日連続同じ相談で再放送になって発狂するタラちゃん>>https://www.youtube.com/watch?v=4SSqvRjjvRY]]|
|2026/01/31|[[ぼったくりキャバクラとの最後の話し合いに乗り込むタラちゃん>>https://www.youtube.com/watch?v=0GOxjVZRcbk]]|
#table_sorter{even=#fefafb,odd=fff}
#endregion(1月)
//==========================================================================================
#region(2月)2月
#table_style(head=center:#ffc0cb,hover=#ffe0e0:#333){投稿日=center}
|~投稿日|~タイトル|h
|2026/02/01|[[襲撃チームで様々な意見が交差する中で着地点を見出すタラちゃん>>https://www.youtube.com/watch?v=t8zA-Iniaao]]|
|2026/02/02|[[日々ケバブ屋女子達にセクハラを仕掛けて殴り〇されまくるタラちゃん>>https://www.youtube.com/watch?v=glLVCZiKFFw]]|
|2026/02/03|[[スーパーアイドルTAKA☆HASHIのキメポーズが流行ってしまいそうで焦るタラちゃん >>https://www.youtube.com/watch?v=iJTiK2IrQog]]|
|2026/02/05|[[全員のアドリブが奇跡を生んだ謝罪代行サービスの大仕事に爆笑するタラちゃん >>https://www.youtube.com/watch?v=j5rcPaNIVmE]]|
|2026/02/06|[[シロウのおっ〇いをガッツリいってしまい謝罪代行サービスを使って余計に終わるタラちゃん>>https://www.youtube.com/watch?v=nuJieYMwHYk]]|
|2026/02/07|[[ミルキーピンクからトイレに呼び出されてすんごいことされたり部屋に軟禁されて斧を片手にとんでもない条件を突きつけられるタラちゃん>>https://www.youtube.com/watch?v=d96c_kzrUmc]]|
|2026/02/08|[[ケバブ屋で起こったバチギス問題に奔走しイジられ役のマインドを熱弁するタラちゃん>>https://www.youtube.com/watch?v=FwxUXjys-uY]]|
|2026/02/09|[[デス〇ートで高橋滅論を射〇した犯人が山田カイキだと判明して怪物滅論を解き放つタラちゃん >>https://www.youtube.com/watch?v=6SUsRv6Bt2w]]|
|2026/02/10|[[デスノ事件への対応を巡って考えを提示したり新規住民を心配するタラちゃん>>https://www.youtube.com/watch?v=MycZP_x1qdI]]|
|2026/02/13|[[ライブ後チェキ会を始めると人が逃げていくTAKA☆HASHIにドハマりするもねと勘違いからショックを受ける鯵屋に爆笑するタラちゃん>>https://www.youtube.com/watch?v=iM27KgBSztY]]|
|2026/02/14|[[もねの過去や出自を辿る旅に一歩踏み出したタラちゃん>>https://www.youtube.com/watch?v=NfQ4GCsGqJY]]|
|2026/02/15|[[千代田からの神企画持ち込みにモンプロ総出でテンション爆上がりするタラちゃん>>https://www.youtube.com/watch?v=aOuiH1AWAuo]]|
|2026/02/16|[[女の気配を感じて部屋に押し入るピンクちゃんを止めてたら外でも修羅場が勃発して発狂寸前のタラちゃん>>https://www.youtube.com/watch?v=GOvft9PzlLc]]|
|2026/02/17|[[麻陀羅組に新メンバー亀山Hero加入!!漫才コンビスカウトでれりあ上田ギルに声を掛けるタラちゃん>>https://www.youtube.com/watch?v=wiqFdi_aV-I]]|
|2026/02/17|[[モンプロのみんなでDBD8VS2モードで優勝します　コラボ>>https://www.youtube.com/watch?v=PaSfk26Uauc]]|
|2026/02/20|[[モーガンフリーザンという数奇な人生を辿る男とギャング設立について語るタラちゃん>>https://www.youtube.com/watch?v=MEn5VfZB6P8]]|
|2026/02/21|[[アルタVSいずみのバトルに亀山Heroの新サービス口プ代行サービスを使ってみたら狂気すぎてとんでもないことになったタラちゃん>>https://www.youtube.com/watch?v=QgFirQkGzkU]]|
|2026/02/22|[[豆乳ちゃんももVS高橋滅論というD4の身内ネタに終止符を打つタラちゃん>>https://www.youtube.com/watch?v=XyQ4iCxoeWk]]|
|2026/02/23|[[D4から正式に脱退し真の覚悟を決めた高橋滅論を麻陀羅組に迎え入れるタラちゃん>>https://www.youtube.com/watch?v=cwqGrcdE4Hk]]|
|2026/02/24|[[モンプロの集大成「動物園代行」が大成功したのに新企画「師匠代行」にドン引きするタラちゃん>>https://www.youtube.com/watch?v=PbyPLsKROf4]]|
|2026/02/25|[[黒の世界に興味を持ってしまったアルタに降りかかる1000万円と家に帰ったらいやっぱり居座ってるピンクちゃんからガン逃げするタラちゃん>>https://www.youtube.com/watch?v=spe9AcdOa68]]|
|2026/02/28|[[わくわくハーデス隊が旧MOZUアジトの物件を購入!?高橋滅論の目論見と元MOZU構成員の思いを知り暗躍するタラちゃん>>https://www.youtube.com/watch?v=rjMWbFU54J4]]|
#table_sorter{even=#fefafb,odd=fff}
#endregion(2月)
//==========================================================================================
#region(3月)3月
#table_style(head=center:#ffc0cb,hover=#ffe0e0:#333){投稿日=center}
|~投稿日|~タイトル|h
|2026/03/01|[[旧MOZUアジト転売事件決着！麻陀羅流の奇策とMOZU流の切り札でわくわくハーデス隊に共闘する銭形堕夜とタラちゃん>>https://www.youtube.com/watch?v=o77ydXjd-6c]]|
|2026/03/04|[[唐突に始まる疑心暗鬼になってしまったアルタとの熱き友情バトルに全力で応えたりナツメとひと波乱起きそうなタラちゃん>>https://www.youtube.com/watch?v=wCrQntCkrjc]]|
|2026/03/05|[[ミルキーピンクに部屋を風〇店に魔改造されて恐怖のどん底に落ちるタラちゃん>>https://www.youtube.com/watch?v=rMO6ztwCcfc]]|
|2026/03/06|[[わくわくハーデス隊を相手取るナツメからの高橋滅論を詰めたいという伺いに独自のギャング論ではっきり物申すタラちゃん>>https://www.youtube.com/watch?v=nJLSJbSDoPY]]|
|2026/03/07|[[わくわくハーデス隊VSハクナツメで憔悴したアヌギフ熱くなる高橋滅論の話を聞いて本音を伝えるタラちゃん>>https://www.youtube.com/watch?v=Z8QSLcaeBqQ]]|
|2026/03/08|[[トウユンと日々から新ギャング設立を聞いて展望を語るタラちゃん >>https://www.youtube.com/watch?v=pd9Bxmtv_ns]]|
|2026/03/09|[[黒としての頭角を現し複数組織から勧誘を受けるギルベルトの相談を聞き自身の過去と経験を語るタラちゃん>>https://www.youtube.com/watch?v=wqgqGgx-nag]]|
|2026/03/10|[[モンプロ社長復帰を任せていた猫ノ宮が街案内中に連れて行かれ勧誘されてわけがわからない状況に巻き込まれるタラちゃん >>https://www.youtube.com/watch?v=l7Y2Mo26x6w]]|
|2026/03/11|[[予見通りの日々のモンプロ脱退を精一杯後押しするタラちゃん>>https://www.youtube.com/watch?v=ICId2Ll1oZs]]|
|2026/03/11|[[奇跡的なすれ違いやモンプロの人員を勝手に所属させているという憶測から火種を錬成するトウユンを諭すタラちゃん>>https://www.youtube.com/watch?v=iArT4vjnJfE]]|
|2026/03/12|[[しゃばい火種から対バンライブに発展した結果モンプロメンバーが一致団結！感動で半泣きのタラちゃん>>https://www.youtube.com/watch?v=ThLvvBpJmSo]]|
|2026/03/13|[[無断転載を開示請求してみたら犯人は同僚だった亀山裁判とまたしても何も知らないタラちゃん>>https://www.youtube.com/watch?v=yR412UAE62w]]|
|2026/03/14|[[同じ熱量で方向性が違うトウユンとタラちゃんの対バンイベントに対するガチな話し合い >>https://www.youtube.com/watch?v=t2BQPi07ClU]]|
|2026/03/15|[[モンプロの新たな挑戦！遊園地代行で本気の水上ショーを魅せる魚人達とタラちゃん>>https://www.youtube.com/watch?v=4Q32EVV3r-A]]|
|2026/03/16|[[昨今の問題を経て小峯と話し街で生きる上での答えが出たタラちゃん>>https://www.youtube.com/watch?v=WkRTKrxGZS0]]|
|2026/03/18|[[ピンクちゃんからねじ込まれた呪物「指輪」をなかったことにする最低な作戦が全部バレて死を悟るタラちゃん>>https://www.youtube.com/watch?v=1mzbeC9JXbc]]|
|2026/03/20|[[モンプロ飲食店開業に向けて下心剥きd下心0でイロハをガチ勧誘したり命を賭けてDrギガに会いに行くタラちゃん>>https://www.youtube.com/watch?v=pyOrP61IsG4]]|
|2026/03/21|[[衝撃的な末路!!ミルキーピンクの女心をもてあそび続けるタラちゃんの自宅に日々異変が起こり事故物件化していく記録>>https://www.youtube.com/watch?v=EXOVApmtk9w]]|
|2026/03/22|[[タラちゃん的今熱い漢No.1ギルベルトのガチ相談に武力を持たぬギャングボスとしてガチで答えるタラちゃん>>https://www.youtube.com/watch?v=poZuSoWr_hs]]|
|2026/03/23|[[街最狂の亀山に新たなデートサービスを持ちかけデート中こっそり亀山の狂人スイッチを入れて爆笑するタラちゃん>>https://www.youtube.com/watch?v=ns3nEJbfiyA]]|
|2026/03/24|[[数字に弱い男が起こした悲劇「68円事件」でミルキーピンクと警察から取調室でガン詰めされるタラちゃん>>https://www.youtube.com/watch?v=vAzNp5saNCY]]|
|2026/03/25|[[モンプロ物件見学でぞん美子が発する謎の言葉『ヘッヘー』にツボり倒すタラちゃん>>https://www.youtube.com/watch?v=c9UyoluY0SM]]|
|2026/03/26|[[わくハーとノヴァファミリアの近況を弱おじで共有し高橋滅論が沈む未来を考えるタラちゃん>>https://www.youtube.com/watch?v=WTT8c_8HpME]]|
|2026/03/27|[[柚乃いずみとのペアルック現場をミルキーピンクに見つかり地獄の修羅場開始!!遂に去勢手術を施されるタラちゃん>>https://www.youtube.com/watch?v=tT2ig81K6X8]]|
|2026/03/28|[[白市民生活が続いた結果犯罪で警察を撃てなくなってしまったタラちゃんが魅せる決死の逃走劇とその上を行く天才警察官ミンドリー>>https://www.youtube.com/watch?v=FxTIqJ121G0]]|
|2026/03/30|[[ラル主催のイベントのPV撮影がどうやってもお笑いになってしまうタラちゃん>>https://www.youtube.com/watch?v=sDHecWQ15BE]]|
|2026/03/31|[[実は採用条件が異常に厳しいモンプロや代行サービスの裏側と亀山の為に暗躍しまくるタラちゃん>>https://www.youtube.com/watch?v=gVGHEkHeGOw]]|
#table_sorter{even=#fefafb,odd=fff}
#endregion(3月)
//==========================================================================================
#region(4月)4月
#table_style(head=center:#ffc0cb,hover=#ffe0e0:#333){投稿日=center}
|~投稿日|~タイトル|h
|2026/04/03|[[ケバブ屋社宅で会議するノヴァに遭遇したりルーシーのギャング服姿を目撃する家政婦は見タラちゃん>>https://www.youtube.com/watch?v=p4AN-wq75Pw]]|
|2026/04/04|[[大喧嘩で深まる絆！遂にモンプロに正式所属するメンバー達が強すぎて大興奮するタラちゃん>>https://www.youtube.com/watch?v=VAgyQm02rtI]]|
|2026/04/05|[[キーピーダイヤとミルキーピンクに挟まれた地獄のような下ネタ会場で爆笑するタラちゃん>>https://www.youtube.com/watch?v=J8Q-RyVDja8]]|
|2026/04/06|[[難易度MAX!?車を使わず徒歩で限界コンビニ強盗に挑むタラちゃんに起こる奇跡>>https://www.youtube.com/watch?v=K_QCsnA3t7I]]|
|2026/04/07|[[アイドルも救急隊もギャングもやりたい積極的なくしゅりに白と黒の交わらない哲学を説くタラちゃん>>https://www.youtube.com/watch?v=hn7yAWXef6s]]|
|2026/04/21|[[PC故障から遂にストグラ復帰!!一か月ぶりの街が変わり果てて驚愕が止まらないタラちゃん>>https://www.youtube.com/watch?v=SShh6fh_yb8]]|
|2026/04/22|[[一か月不在でモンプロは崩壊の危機だし麻陀羅組は何の進展もなくてブチギレるタラちゃん>>https://www.youtube.com/watch?v=9XU3JEANckI]]|
|2026/04/23|[[ジョアンナのデートで大撃沈した亀山の話を聞いたらとんでもない展開が待ち受けていたタラちゃん>>https://www.youtube.com/watch?v=SqcsMf2uimo]]|
|2026/04/26|[[モンプロからJTS組が離脱を知り電話で涙する猫ノ宮を察してメンケアに全力を出すタラちゃん>>https://www.youtube.com/watch?v=VQ_3L_VWWSw]]|
|2026/04/27|[[ケバブ屋の絶望的状況を知り滅論と小峯の喧嘩を見て途方に暮れたりいずみの顔ルーレットでツボり倒すタラちゃん>>https://www.youtube.com/watch?v=3dEVM5LjOZI]]|
|2026/04/28|[[やらかしてしまったルーシーへ新規住人時代ダントツやらかした自分ならではのアドバイスを贈るタラちゃん>>https://www.youtube.com/watch?v=NUmJinPX4C0]]|
|2026/04/29|[[社員半分がギャングに転身してクビになったケバブ屋でギャングボスとして働き続ける理由をいずみと語りクビになるのかを確かめるタラちゃん>>https://www.youtube.com/watch?v=FHeA9qHivTM]]|
|2026/04/30|[[ギャングを排除したケバブ屋で警察署長が働くことをけんつから聞きいずみと店について深く考えるタラちゃん>>https://www.youtube.com/watch?v=11BaurMYuck]]|
#table_sorter{even=#fefafb,odd=fff}
#endregion(4月)
//==========================================================================================
#region(5月)5月
#table_style(head=center:#ffc0cb,hover=#ffe0e0:#333){投稿日=center}
|~投稿日|~タイトル|h
|2026/05/01|[[ミルキーピンクのすんごいボイスで笑天しかかったり"全然ダメな男女の電気工事"を思いつくタラちゃん>>https://www.youtube.com/watch?v=3ZqoFA1Wh4w]]|
|2026/05/09|[[魔女の酒場で世代トークしたら若い子に話が通じなくてライアンと傷を舐め合うタラちゃん>>https://www.youtube.com/watch?v=VyCn-iL5a0c]]|
|2026/05/10|[[ケバブ屋転売事件の全容!!被害店舗と対面しあげころ上田が起こした事件の対応を迫られる店長とタラちゃん>>https://www.youtube.com/watch?v=CvFtujsuBBU]]|
|2026/05/11|[[ケバブ屋転売事件翌日!!謝罪に出向きゲキ詰めされたりブチギレと号泣のいずみVSあげころを見て絶叫するタラちゃん>>https://www.youtube.com/watch?v=0FQz6kP0YmE]]|
|2026/05/12|[[マクドナルドを逃走補助し警察に圧をかけた結果奇跡の謝罪コントに発展するタラちゃん >>https://www.youtube.com/watch?v=HHYya0uFnlM]]|
|2026/05/15|[[遂にケバブ屋転転売事件終結!!最後に上田あげころに真正面からぶちかますタラちゃん >>https://www.youtube.com/watch?v=-Pqk7p9CHmY]]|
|2026/05/16|[[マクドナルドと適当エチュードしたり警察車両との性能差問題で縛っていたチェイスに元警察のボイラからアドバイスを貰うタラちゃん >>https://www.youtube.com/watch?v=VIY7DhUynZk]]|
|2026/05/17|[[彼は本当に麻陀羅組なのか？薄々感じていた高橋滅論の本質を受け入れ始めるタラちゃん >>https://www.youtube.com/watch?v=lcNTzjdMyt0]]|
|2026/05/19|[[スコティッシュホールドと帝レンがモンプロに加入しテンションがぶち上がったところで亀山がまた詐欺に遭い開いた口が塞がらないタラちゃん >>https://www.youtube.com/watch?v=T1ItKS6zVOA]]|
|2026/05/20|[[ケバブ屋に待望の体験希望が来るも堕夜と滅論だと聞いて頭を抱えたり空に思う本音をいずみに投げかけるタラちゃん >>https://www.youtube.com/watch?v=7EY5kH4pVZk]]|
|2026/05/21|[[記憶喪失の新規住人の探し人に絶対違う人物をあてがって爆笑したり新企画を発足するタラちゃん >>https://www.youtube.com/watch?v=Sb3MBBAl0aY]]|
|2026/05/22|[[おじさん達に第2の青春！ストグラ新バンドメンバーになったタラちゃん >>https://www.youtube.com/watch?v=xB3CGMtDcG4]]|
|2026/05/23|[[霊明と禁断 of バイトにイったりくまぽこいじりに全力の衛星外タラちゃんの一日 >>https://www.youtube.com/watch?v=x722ptf6DWw]]|
|2026/05/24|[[堕夜が守り続ける偉大なボスへの思いを悟り新たな道を模索したいタラちゃん >>https://www.youtube.com/watch?v=S2WHGcwNXF0]]|
|2026/05/26|[[ケバブ屋新人をガッツリ見極めながら魂が政治ネタに反応することを必死に抑えるタラちゃん >>https://www.youtube.com/watch?v=SyonCY4QGbE]]|
|2026/05/29|[[SNSにAIが登場したと同時に亀山の様子がおかしくなった原因を察して即ハメるタラちゃん >>https://www.youtube.com/watch?v=A8RqzeOqKdY]]|
#table_sorter{even=#fefafb,odd=fff}
#endregion(5月)
//==========================================================================================
#region(6月)6月
#table_style(head=center:#ffc0cb,hover=#ffe0e0:#333){投稿日=center}
|~投稿日|~タイトル|h
|2026/06/02|[[ウクレレ部ライブを手伝い出演するモンプロタレントに対して星ノみこと面談するも極論が返ってきて頭を抱えるタラちゃん >>https://www.youtube.com/watch?v=qZ648rEOzts]]|
|2026/06/03|[[話題のAIアカウントに探偵顔負けの捜査包囲網を展開する堕夜とタラちゃん >>https://www.youtube.com/watch?v=wzzVu9WS26Y]]|
|2026/06/06|[[ウクレレ部とモンプロの話し合いで知った星ノみこの秘めた悩みとありえないタイミングで辞める亀山に真面目に絶句するタラちゃん >>https://www.youtube.com/watch?v=bckjjQVMrLc]]|
|2026/06/07|[[ケバブ屋で黒志望？の新規住人さんに脅されたのでニッコニコで餌をまく高橋滅論とタラちゃん >>https://www.youtube.com/watch?v=u4owbuSdgy4]]|
|2026/06/08|[[禁断のゆちゃボイスの完成度に大興奮してフライヤーのロケハンに出向くタラちゃん >>https://www.youtube.com/watch?v=yytPJqWftFs]]|
|2026/06/09|[[亀山引き抜きの前科で信用0のちゃんももが猫ノ宮を勧誘していることを知り自然と引き抜きを疑うモンプロメンバー達とタラちゃん>>https://www.youtube.com/watch?v=xr1DY0MQipA]]|
|2026/06/10|[[麻陀羅を脱退した亀山が早速物議を醸していると知りジョアンナと大困惑するタラちゃん>>https://www.youtube.com/watch?v=oJoUdksTQQI]]|
|2026/06/12|[[立場によって見え方が違う闇医者問題!!組織の運営に悩むゆちゃの話を聞いたりもねの言っていた「先生」に切り込むタラちゃん>>https://www.youtube.com/watch?v=JBROLwAUNII]]|
|2026/06/13|[[野間がモンプロボイス事業のマネージャーに就任!?無敵のアイデアに爆笑したりコンドーする警察安倍霊明にツボるタラちゃん>>https://www.youtube.com/watch?v=pXFZ6meYcCI]]|
|2026/06/14|[[警察と爆笑新犯罪を繰り広げたらケバブ屋店長が来てクビの危機シリアスに突入するタラちゃん>>https://www.youtube.com/watch?v=wksg7DU1l3Y]]|
|2026/06/15|[[パトカーを盗みケバブ屋をクビになりかけた翌日またパトカーを盗んだら逮捕された868が乗ってたので逃走補助して指名手配されるタラちゃん>>https://www.youtube.com/watch?v=k3IHeybxUjU]]|
|2026/06/16|[[開幕アンジャッシュしたりケバブ屋転売事件解決の最後のチャンスを逃した上田あげころへの感想が合致するいずみ店長とタラちゃん>>https://www.youtube.com/watch?v=TOqdhxis2uY]]|
|2026/06/17|[[猫ノ宮ひなとぞん美子を子守するタラちゃん>>https://www.youtube.com/watch?v=vOL4kQP8U9Y]]|
|2026/06/18|[[華憐と遭遇して餡ブレラ復活を知ったり猫ノ宮と変な詠唱したりジャックスに帰国を促される下ネタマエストロタラちゃん>>https://www.youtube.com/watch?v=jIYeL9Knf30]]|
|2026/06/19|[[ピンクちゃんと電気工事に行ったら最悪の下ネタの押収に発展するタラちゃん>>https://www.youtube.com/watch?v=D6F2EkTuP0E]]|
|2026/06/20|[[またしても奇跡的に868をピックしたりピンクちゃんからのドセクハラを受けるタラちゃん>>https://www.youtube.com/watch?v=BswvgcMzh-A]]|
|2026/06/21|[[新人紹介したかったのに壮絶なアンジャッシュになってしまう渡戸リーとタラちゃん>>https://www.youtube.com/watch?v=vVGHEYEFyIQ]]|
|2026/06/21|[[上田とあげころの黒に期待を膨らませたり堕夜堕夜の出現に頭を抱えるタラちゃん>>https://www.youtube.com/watch?v=TdXq-yON0BQ]]|
|2026/06/22|[[もねという名前の漢字を知り愕然とすると思いきやめっちゃ言い合いになるタラちゃん>>https://www.youtube.com/watch?v=WrfB2wYcLx0]]|
|2026/06/22|[[OWに似た架空のゲームさくら〇も子武闘伝をぞん美子に教えるタラちゃん>>https://www.youtube.com/watch?v=xyF43Q1a3Ro]]|
|2026/06/23|[[武器屋と対立したわきおからの着信に出れず拗ねたわきをに対して可愛いアンテナが発動してしまうタラちゃん>>https://www.youtube.com/watch?v=K567KaNl-nA]]|
|2026/06/23|[[麻陀羅組のボスとして構成員達の成長を感じて泣きながら小峰に電話するタラちゃん>>https://www.youtube.com/watch?v=oSUpg3hRstU]]|
|2026/06/26|[[超ハイテンションボーイ春原新と久々に再会したら全くの別人が出てきてシリアス突入したけど終わってる方法で本人だと確信するタラちゃん>>https://www.youtube.com/watch?v=6IW13hhtCcM]]|
|2026/06/27|[[リアルお気持ちを受け取ったボイラに異変が起こったものの最終的に終わってる下ネタを我慢するハゲとタラちゃん>>https://www.youtube.com/watch?v=n3SD3blCC4s]]|
|2026/06/29|[[ひなのコンカフェ体験の様子を見に行ったら国宝級コントのパスを察して全力で応えるタラちゃん>>https://www.youtube.com/watch?v=pb4CHNQPJE4]]|
