//
//[注意！]
//誰かが記載した文章を丸々削除&記入は、編集合戦になって不毛な戦いに発展してしまうのでお控えください。
//適切ではない文章で、丸々消去する場合はコメントアウトを用いて、消さずに又はメモを残す対応をお願いします。
//
//11/14追記:がっつりエピソードなど、「人物特徴ではないもの備考欄への記載」は無駄だと判断し、消させていただきます。
//11/26追記:無駄に備考欄が長くなっている為、面白犯罪でのランキングや記載したいエピソードなどがある場合はこちらではなく、各人物のプロフィールにて記載をお願いします。
//2024/3/27 銀河一アニキについて、ランク2に昇格したと思ってらっしゃる方がいるのですが、現在はSWATのみ2を付与されています。参考URL：https://www.twitch.tv/videos/2102070301?t=03h27m13s
//以前世代名は編集相談所にて仮称は正式名称ではないので載せない方がよいにまとまっていたはずなので、世代の仮名称は非表示にしました。
//各署員のランク記載ですが、警察ランクとSWATランクに差がない限り一つにまとめて記載するのが良いかと思います。
//2024/10/28 (月) 11:52:15(非ログインユーザー)のましゃかり　トラボルタ編集、「警察としての仕事よりも自身の撮れ高を優先する一面があり～」は事実と異なる点や、配信者下げにしか見えないため削除させていただきました。同時にジャック馬ウアーの「仕事ぶりのいい加減さや～」も観測者側からの主観にしか見えないと思うので削除しています。
//2025/09/22：「役職」欄を追加し、各署の「署長、副署長、上官、副官」を記載しました。それに伴い、「役職/部署/世代」を「部署/世代」に変更しています(by akina3)
//2025/09/22：馬ウアー署長の備考欄について行数が多かったので「openclose2」を使って一部クリックで表示するようにしました。記載内容は変更しておりません(by akina3)
//
//
***&font(19,u){&color(#4169E1){|}&space()Season1&space(4)}
#region(開く)閉じる
****概要
-署員数：98人（男性：67人・女性：31人）&small(){休職中を除く}
-SWAT隊員数：91人（男性：64人・女性：28人）
// 2025/07/15更新 犬ルリ懲戒免職
// 2025/09/10時点 ブロッコリー斎藤無期限停職（人数未反映）
// 2025/07/02時点 市長・市長補佐は未カウント、警察のみ所属7人（男性：4人・女性：3人）
// 2025/09/22時点 胡將停職（人数反映済　99人→98人）
// 2025/09/22時点 文月夏苗 休職
//
****&font(19,u){&color(#4169E1){|}&space()署員一覧 &color(darkblue){&icon_fa(fa-solid fa-person-military-pointing)}}
//各署員のランク記載ですが、警察ランクとSWATランクに差がない限り一つにまとめて記載するのが良いかと思います。
#size(90%){{{#table_style(100%,head=#4169e1:#ffffff:center){SWAT入隊状況=center,本採用日=right}
#table_filter(){所属=show,役職=show,ふりがな=hide,階級=show,部署/世代=show,SWAT入隊状況=hide,本採用日=show,備考=show}
|~所属|~役職|~氏名|~ふりがな|~階級|部署/世代|~SWAT入隊状況|~本採用日|~備考|h
|本署||[[いぬね　こう]]|いぬね　こう|1|[[襲撃の世代>ロスサントス警察#襲撃の世代]]|○|'24/11/26|3人目の警察体験2回実施した合格者。体験中に警察署襲撃を二回受けている。&br()警察体験中に[[ALLIN]]の襲撃でダウンさせられ、採用直後に[[バーバリアン田中>バーバリアン　田中]]にロスランドへ連れていかれアルハラを受け、[[ブロッコリー斎藤>ブロッコリー　斎藤]]からは足に使われるパワハラを受けた不憫体質。|
|本署||[[土田　ぷちお]]|つちだ　ぷちお|1|[[襲撃の世代>ロスサントス警察#襲撃の世代]]|○|'24/11/26|街初日にして餡ブレラと因縁をつくった男。&br()警察体験中[[アルフォートウェスカー>アルフォート　ウェスカー]]に対し、適当な罪状を切りそうになったことでウェスカーに怒られてしまい、そのまま罰金計算の教育的指導を受けた。|
|本署||[[焔　零児]]|ほむら　れいじ|1|[[襲撃の世代>ロスサントス警察#襲撃の世代]]|○|'24/11/30|「～っす」という話し方をするオレンジ髪の青年。&br()[[七瀬　ぜろ]]とは大学時代からの友人。|
|本署||[[ぎこ　猫一郎]]|ぎこ　ねこいちろう|1||○|'25/03/06|主に街の北で生活していた[[渡戸　リー]]の弟子。|
|本署||[[小中　ぺこり]]|おなか　ぺこり|1||○|'25/03/12|別の街で警察をしている弟に勝手に応募書類を送られた。警察になれなかったら死刑だったが無事採用された。&br()あだ名「&bold(){ぺこれいつぉ}」。|
|本署||[[鬼桃　ぷぅ]]|きとう　ぷぅ|1||○|'25/03/22|[[赤兎　がみとも]]、[[元難波　芽久未]]に続く三人目の救急警察兼業。|
|本署||[[こはる　はる]]|こはる　はる|1||○|'25/06/10|桃色の髪が特徴的で、中性的な容姿と声音から時々男性と間違えられる。&br()九九が危ういレベルで計算が苦手。|
|本署||[[仄々山　すごす]]|ほのぼのやま　すごす|1||○|'25/06/14|「ごっちゃん」「〇〇山」など様々なあだ名をつけられる人物で、「仄々山です?！」と返すのがお決まり。&br()実は早期に街に移住してきており、[[スドバ>>須藤バックスコーヒー]]で働く従業員というイメージの方が強い。&br()整理整頓することが好きで警察の共有スタッシュをよく整頓している。|
|本署||[[白　雲隠]]|ばい　ゆんいん|1||○|'25/06/18|警察を志した理由は[[とある事件>>https://w.atwiki.jp/streamergta5/pages/2121.html#casefile_20250328]]に巻き込まれた際、[[二名の>>ヒロ　ヤマモト]][[警官>>立花　乱歩]]に助けられたことがきっかけだと語っている。&br()[[よすみのかど>よすみの　かど]]は警察と[[SKE>菖光エンジニア]]の両方で先輩にあたる。|
|本署||[[博多　きた子]]|はかた　きたこ|1||○|'25/06/19|[[ぞん美子>ぞん　美子]]の生前の姿らしい。博多弁のあいらしか女ん子。|
|東署|&color(#2E9B26){&bold(){東署}} &color(#3B4EF0){&bold(){署長}}|[[ましゃかり　トラボルタ]]|ましゃかり　とらぼるた|3&small(){&openclose2(show=※){&br()降格処分}}&br()&small(){SWAT}1|特殊刑事課 課長&br()麻薬取締局&br()Lv100武器商人対策本部&br()闇メカ捜査本部|○|'22/08/29&br()&openclose2(show=復職){&br()'23/01/29}|通称「キャップ」「赤ちゃんキャップ」。口癖は「100点だ」。副業として[[メカニック> Bear Moon Custom]]に籍をおいている。&br()特殊刑事課のTOPであり、No.0。初代副署長で、あることを期に保安官へ転職も現在は復職している。&br()一時期はよく[[つぼ浦>壺浦　匠]]とふざけあってよく死亡や禊で降格したり、[[ギャング幹部>yaku　beni]]とのデート代などで金欠に陥る事が何度かある。&br() 自称、｢この街の愛と正義｣であるが、[[Mon D]]に騙されてロケランを奪われた事件にて、不貞腐れて「（抗争で街が大変な事になると言われ）住民がどうなろうと知るか！」と本性を現している。&br()自称で東署署長を名乗っていたが、最近は事実上の公認になっている。最近は上官に復帰するため邁進中。&br()'25/04/06深夜、警察上官ストレージ整理のために[[署長>ジャック　馬ウアー]]権限でランク4に昇格された。&br()説得力や記憶が抜け落ちたまま発言する事が度々あり、[[市長>山下　ひろし]]含め他人から何度か突っ込まれている。&br()「&bold(){赤ちゃん、ON DUTY!!}」|
|東署|東署 &color(#3B4EF0){副署長}|[[小此木　ナカバ]]|おののぎ　なかば|5&br()&small(){SWAT}4|&ruby(さつりくぶたい){市民対応課}|○|'22/11/07|魂が元警察官で元特別市民、モットーはお巡りさん。とある事件以降「&bold(){ショットガン先輩}」と呼ばれるように。&br()'24/06/09、今の警察に自分は必要ないと感じ退職を決意、直属の上司に相談し警察人生に幕を閉じようとしたが、&br()06/12に署長・北署署長・救急隊隊長も集結。「ナカバがいなくなったら警察終わる」が最後の留めとなり、辞職しない事を決断した。&br()'25/04/18、東署の&ruby(さつりくぶたい){市民対応課}としてキャップに誘われ移籍した。|
|東署||[[山本　寅子]]|やまもと　とらこ|4&br()&small(){SWAT}1|[[特別市民🧑‍🔧>特別参加市民]]&br()公務員車両ディーラー&br()&ruby(さつりくぶたい){市民対応課}|○|'25/02/18|日本の大阪出身でロスサントスに似た時空の島の[[フクロウ>だん市長補佐]]に命じられて本島にやってきた気さくな48歳のおばちゃん。&br()出会う人すべてにポケットに入っていたアメちゃんをプレゼントしている。&br()本署で退屈そうにしている様子を見かけたキャップに勧誘され東署に転属した。&br()新しく導入された個人所有可能な警察車両のディーラーも勤めている。業務の範囲を広げるためにランク1から4に上がった（実質はランク3相当）。&br()「&bold(){タコ焼きクルクル、ソース二度漬け禁止！"ナニワの寅"山本寅子出勤です。おはようさんですぅ～}」|
|東署||[[ゴンザレス　マヌ太郎]]|ごんざれす　まぬたろう|3&br()&small(){SWAT}4|特殊刑事課 |○|'22/10/09|特殊刑事課No2であり、愛すべきムードメーカー。バイクが好きで撃ち合いも強い。ヘリも上手い。&br()スペイン語もお手の物。[[ボイラ>ボイラ　テンガリン]]と共に[[マクドナルド>ライトスターボーイ]]を信奉する為、二人合わせて「ポテナゲ」と呼ばれている。&br()警察ランク4への昇級試験はHUNTERXHUNTERでキャップと語り合うことと言われている。|
|東署||[[真島　ルイ]]|まじま　るい|3|特殊刑事課|○|'25/02/27|[[鬼瓦　るる]]以来に採用された女性警察官。&br()血液型至上主義の[[皇帝>ニックス　リア]]を敬愛しており、改造手術を自身に施して血液型をB型に入れ替えている。&br()ポンやら不憫やらで自他ともにケガやダウンの付きまとう「希望の星（ホープ）」。&br()2025/07/08 東署の人員が増員に伴い特殊刑事課に出世すると同時にランク3に上がった。&br()「&bold(){気合と根性！真島ルイ出勤しますおはようございまーす！}」|
|東署||[[如月　ミチコ]]|きさらぎ　みちこ|2|特殊刑事課 |－|'22/09/25&br()&openclose2(show=復職){&br()'23/02/13}|特殊刑事課No4。キャシーの妹。[[キャップ>ましゃかり　トラボルタ]]と同じく一度は保安官へ転職も現在は復職。&br()服装と喋り方は誰が見ても分かるキャピキャピのギャル。|
|東署||[[Arupi　Aru]]|あるぴ　ある|2|特殊刑事課|○|'23/09/15|通称あるぴ。特殊刑事課No.6。日本語はまだまだ勉強中。&br()キャップから、「[[後藤　れむ]]、[[猫　マンゴー]]、[[犬　ルリ]]、あるぴいたら終わりだから…」を言うほど屈指のAIM力を持っている。&br()チェイスも強く確保率が高い。|
|東署|東署 副官|[[つぼ浦　匠]]|つぼうら　たくみ|&openclose2(show=★1){&br()&small(){読み：プレステージ１&br()つぼ浦曰く、ランク6以上でカンストしている。&br()ギャグシーンで昇格、シリアスシーンで降格。&br()ちなみにボスメニューだとランク0に変更した状態のまま放置されている。}}|特殊刑事課&br()[[キセキの世代>ロスサントス警察#キセキの世代]]|－|'23/08/19|キセキの世代の一人。特殊刑事課No.1であり、特殊刑事課を象徴する人物。座右の銘は｢自由と腹ペコ｣。その思想や行動は自由そのもの。&br()片手にバット、時にはもう片方の手にロケランを握る狂犬。現在のランクは全警察署員で最も高いプレステージ1となっている。&br()現在は一時的に旅に出ている。 &br()「&bold(){畜生、埒が明かねぇな}」「&bold(){特殊刑事課 つぼ浦匠 ON DUTY!!}」|
|東署||[[文月　なえ]]|ふみつき　なえ|1|特殊刑事課&br()[[最悪の世代>ロスサントス警察#最悪の世代]]|○|'24/02/25|最悪の世代の一人。江戸時代から来た侍、通称殿。大抵の事はアカシック古事記に書いてあるらしい。&br()体験期間が4ヶ月だったので、実質同期の署員が多い。これが最悪の世代が多い理由の一つでもある。&br()採用後初事件対応となったカジノヘイストでは自ら刀を持って斬り込み、ベイト役を果たした。&br()'24/03/02より、特殊刑事課No.7に任命された。[[伊藤　ぺいん]]とは『死ぬバディ』として一生バディ宣言をしており、死ぬまで一緒。死んでも一緒。&br()昇格試験中であったが、条件のパイプボムが街から消えてしまった為進捗は不明。&br()「&bold(){御用改めである！}」|
|東署&br()(研修)|東署 上官|[[文月　夏苗]]|ふみつき　かなえ|4&co(){POLICEとSWATのランクに差がない限り1つにまとめて表記しています}|[[F4>ロスサントス警察#F4]]&br()[[生命の世代>ロスサントス警察#生命の世代]]|○|'24/06/06|同姓の[[文月なえ>文月　なえ]]と似た風貌を持つ青年。ランク6になることを目標に就業中。&br()当代ロスサントスが記されている[[家伝書物>文月　なえ#あかしっく古事記]]によりある程度の知識&openclose2(show=※){（街の様子や、[[黄金の風>伊藤　ぺいん]]や[[百姓>ニックス　リア]]などの人物情報）}を事前に有し、移住前に勤めていた特殊部隊での経験から、運転や戦闘に長ける能力を持つ。&br()警察官は正しくあるべきという思想を持ち、救急隊や市民などに挨拶を欠かさないなど真面目な性格なため、自身の警察観にそぐわない行動する者とは距離を置く傾向にある。&br()'24/7/14 過去の銃整備経験から、警察に試用配布された新武器の&ruby(レシピ){設計図}を書き起こす大役を[[ミンドリー>ミン　ドリー]]から拝命。以降、武器性能の説明機会が増加。&co(){交友関係や車両の好みなどの"個人エピソード"は個人ページへ移行。}&br()その仕事ぶりに長らくランク1を疑われていたが、豊富な知識を駆使した大型対応と新武器レシピ提供の功績が認められ、'24/10/19 警察SWATともにランク3まで飛び級昇格を果たす。&br()上官となるための働き&openclose2(show=※){&nbsp(br,2)犯罪対応：大型犯罪への作戦指示と現場指揮、現状の問題解決となりえる新作戦([[マヴ戦術>文月　夏苗#マヴ作戦]])の立案、など&nbsp(br,2)市民対応：メカニックの通報対応への問題提起、BJローンとカジノについての対応、餡ブレラ街襲撃事件、など&br()}を地道に続けた結果、'25/06/13、署長不在につき長らく保留となっていた昇格の話が進展。無事ランク4へ。|
|東署&br()(研修)|東署 上官|[[ヒロ　ヤマモト]]|ひろ　やまもと|4|[[F4>ロスサントス警察#F4]]&br()[[生命の世代>ロスサントス警察#生命の世代]]|○|'24/06/13|[[安倍　霊明]]とは生き別れの兄弟のようによく似ているが赤の他人である。&br()[[亀有　大吉]]とは奇肉屋でも同期である。&br()2周年の会議の際に会議内容をタブレットで纏めたことで、[[ババア>バーバリアン　田中]]に次いで警察で文字が書ける貴重な人材として注目されている。&br()[[ヘラシギ]]の一件では裁判の検事も行い、[[オルカ　トヴォロ]]、[[日之　ぱちお]]と共に事件の対応を務めた。|
|東署&br()(研修)|東署 副官|[[味野　環九郎]]|あじの　かんくろう|4|[[襲撃の世代>ロスサントス警察#襲撃の世代]]&br()麻薬取締局|○|'24/10/03|17時5時警察  愛称は&bold(){アジカン}。&br()[[竹井　勝痔]]被害者の会の一人であり、ロスサントスを訪れた初日に被害に遭った。&br()[[バーバリアン田中>バーバリアン　田中]]から課された、[[竹井　勝痔]]に対して「お前も犯罪するんだろ！」と手錠をかける使命を達成するなどノリの良さがしっかりとある。&br()早番時間帯から起きていてライセンス付与業務ができるようになることを考慮して'24/10/19にランク2へスピード出世した。&br()'25/02/01北署に配属させられた。'25/03/14 ランク3昇格。'25/06/13 ランク4昇格。&br()真面目な勉強家で、座学の際はメモを取ったり、事件報告書を細かく読み込んだりしている。&br()最近の早番時は周りの影響からかチョケに走ることも多々あり、ババアの助手として警察早番コントを盛り上げる要員にもなっている。&br()二つ名はMr.5時17時&br()「&bold(){味野出勤します}」|
|東署&br()(研修)||[[犬上　リオ]]|いぬがみ　りお|3&br()&small(){SWAT}4|[[生命の世代>ロスサントス警察#生命の世代]]&br()[[特殊部隊Dogs>https://w.atwiki.jp/streamergta5/pages/186.html#Dogs]]&br()&link_anchor(police_kaiju,page=犬　ルリ){怪獣部隊}：怪獣6号|○|'24/07/23|ミン　ドリーの軍人時代の後輩。撃ち合いが得意。&br()ポメラニアンのような愛らしさと人懐こさを兼ね揃え、SWAT業務での活躍ぶりやクラフトも欠かさず行う勤勉な署員。&br()ランクがなかなか上がらないことをバーバリアン　田中は陰ながら憂いていたが、10/15に無事ランク2に昇格した。&br()最近では空の[[二部>二部　らるたる]]、地上のリオで2人のエースとして活躍している。&br()上官志望ではないが、[[二部>二部　らるたる]]となら上がったっていいと思っている。&br()'25/06/18、SWATランク4に昇進。|
|南署|&color(#3BCFF0){&bold(){南署}} &color(#3B4EF0){&bold(){署長}}|[[花沢　まるん]]|はなざわ　まるん|5|[[キセキの世代>ロスサントス警察#キセキの世代]]&br()麻陀羅組対応課&br()モテモテクラブ|○|'23/08/18|キセキの世代の一人。まだ本人は認めていないが、[[キャップ>ましゃかり　トラボルタ]]により特殊刑事課No.3に指名されている。&br()茶髪のマッシュヘアが特徴的なバイク乗り。地上戦が得意。身の回りのものを全てをオレンジに染めている。&br()初心者マークをつけた女の子の連絡先をほとんどおさえていると噂されており、“初狩りのまるん”などと呼ばれることがあるが、&br()実際は初心者に対して果てしなく親切なだけであり、そこに男女の差は"ほとんど"ない。&br()カバーが手厚く、痒いところに手が届く欠かせない存在。大型犯罪対応時はライオットや護送車で出動する機会が多い。&br()タラちゃんが半グレの時にはタラちゃん対応課と周知していたが、本署護送された時や&br()コンビニ対応でもタラちゃん含めた組員と良く出会う事から、昨今では麻陀羅組対応課と言っている。&br()'25/03/25南署長就任。&br()「&bold(){どんな事件もまるんと解決する花沢まるん出勤します}」|
|南署|南署 &color(#3B4EF0){副署長}|[[日之　ぱちお]]|ひの　ぱちお|5&br()&small(){SWAT}4|[[ゆとり世代>ロスサントス警察#ゆとり世代]]&br()チャリ課&br()チル課&br()マメ課&br()空挺部隊&br()Lv100武器商人対策本部|○|'23/11/16|特徴的なグラスをかけた警察官でも珍しいヴィゲロ使い。[[特定>ケイン／オー]]のギャングからチェイスはヴィゲロ限定と注文を付けられる。&br()よく[[ギャング>ぎちょう・じょばぁーな]]に間違えられる。&br()先輩達を人懐っこく慕う後輩らしさと、後輩たちを気にかけ声を掛ける先輩らしさを持ち合わせる優しい警官。&br()[[ニトロ>職無　ニトロ]]や[[竹井>竹井　勝痔]]と共に市民第一の考えを持っており、もっと市民に寄り添う仕事がしたいという希望から2024年4月に本署から南署へ異動した。&br()市民対応をモットーとしそのおかげかある時の調査では彼氏にしたい警察官ランキングで総合1位に輝いた。&br()'25/03/25南副署長就任|
|南署|南署 &color(#3B4EF0){副署長}|[[もり　るんるん]]|もり　るんるん|5|[[最悪の世代>ロスサントス警察#最悪の世代]]&br()チル課|○|'24/01/25&br()&openclose2(show=復職){&br()'24/06/07}|最悪の世代の一人。市民対応を中心にやりたいこと、南署員に良くしてもらったことも多くあり、警察官を志望。&br()がみともが採用されるまでの警察の最年少記録を保持していた。（1歳）&br()吸収力がスポンジで毎回即反省自己分析をして成長している。とても耳が良く無線の情報や周りの音をよく聞き、理解して行動していると先輩方から評されている。&br()まずは南署署長からだが、最終的には本署署長の座を狙っているとか。&br()'25/09/18の警察新体制移行に伴い副署長に就任。&br()「&bold()お馴染みの挨拶は{るんるん、しゅっき～～ん！}」|
|南署|南署 上官|[[赤城　煉]]|あかぎ　れん|6|生活安全課&br()後方支援部隊&br()マメ課|○|'23/03/15&br()&openclose2(show=再雇用){&br()'25/07/02}|前南署署長。正義感が強く市民に寄り添える警官を目指す。運転や銃撃戦が得意な万能型でコメットを愛車にしている。&br()市民からの人気が高く、あるときの調査では署内のモテ男ランキングで1位に輝いた。&br()南署長になってからは部下の問題行動などに巻き込まれて胃痛ポジである事が多いものの、&br()本人も禊で奇抜な格好をしたりSTATEに「謹慎中」と表記させたり衛星外で借金を抱えてしまったりで、身内や市民に呆れられたりしている。&br()自分以外の署員にも署長というポジションを経験してもらいたいという気持ちから辞任を決意。&br()したものの皆が南署署長＝赤城との認識が変わることがなく強制的に問題を起こしてクーデターを起こさせた。&br()その甲斐あって新しい南署体制への移行に成功。恩師である[[番田　長助]]に連絡して日本に一時帰国した。&br()'25/07/02に暫定本署所属でランク0から復職、その夜ランク6復帰。&br()SWAT業務をする予定はなかったが、'25/09/04に早番SWAT対応組に合流するために[[ミンドリー>ミン　ドリー]]の手でランク6で昇格復帰。|
|南署|南署 上官|[[シオコ　リコ]]|しおこ　りこ|4&br()&small(){SWAT}3|メンケア課&br()市民なんでも課|○|'23/08/24|癒し兼ママ枠。普段から丁寧で優しい口調だが、ボイラには厳しい。&br()よく着信音のボイスを頼まれる。同期のボイラにはなぜかタメ口なもよう。|
|南署|南署 副官|[[伊田場　零雨]]|いだば　れう|4|[[ゴリラ世代>ロスサントス警察#ゴリラ世代]]&br()後方支援部隊|○|'23/11/27|ゴリラ世代の一人。ロスサントス警察を志望した理由は[[つぼ浦>つぼ浦　匠]]のまっすぐなところに尊敬したから。署員からは目標を変えた方がいいとツッコまれている。&br()気が弱そうな一面があるが銃撃戦の腕はピカイチであり、最近ヘリ要員としても著しい成長を遂げている&br()部署分けをする際に[[赤城 煉>赤城　煉]]と話し、意気投合。考えが似てるという理由で南署に配属された。&br()『生存重視』を信条とし、早めの撤退判断など署員の犠牲を少しでも減らすべく立ち回っている。&br()「&bold(){伊田場出勤おはようございます}」| 
|南署||[[冥鳴　キマリ]]|めいめい　きまり|3&br()&small(){SWAT}2| |○|'23/09/08|署内のアイドル＆癒し枠。出勤の挨拶だけで男性陣の声が優しくなるほど。&br()よく着信音のボイスを頼まれる。その努力で先輩たちを感動させる。&br()本署の[[成瀬　力二]]とは同期にあたる。|
|南署||[[水無月　縁]]|みなずき　ゆかり|2|生活安全課&br()後方支援部隊|○|'23/06/14|「生活安全課」に配属している南署のお姉さん的存在。署内でも随一の市民派婦警。&br()真っ先に市民のトラブルに対応するなど困ったときに頼りになるが、犯罪者に同情されるほど不憫体質持ちでもある。&br()入隊時は北署配属であったが、南署設立と同時に転属した。&br()昇格試験あり|
|南署||[[セリーヌ　ゴデス]]|せりーぬ　ごです|2&br()|[[ゆとり世代>ロスサントス警察#ゆとり世代]]&br()後方支援部隊&br()マメ課&br()チームPons|○|'23/11/02|1にバット2にバット、伝説女の名言ここに爆誕。&br()救急隊のヘスティアは姉に当たる。姉妹揃ってのドラテクでロスサントスを（いろいろな意味で）席巻している。&br()「&bold(){おはモーニン、セリーヌ出勤！おはようございまぁーす！}」|
|南署||[[猪原　ローズ]]|いばら　ろーず|2|[[最悪の世代>ロスサントス警察#最悪の世代]]|○|'24/01/16|最悪の世代の一人。オネエ枠としては[[ベティ>ベティ　ワトソン]]につぎ2例目。頼りがいのあるオネエさん。&br()ヘリと車の運転が得意で、体験時から地上班と連携をとってIGLをこなすなどその実力の高さを遺憾なく発揮した。&br()ヘリ使いには珍しい、板＆ネズミ筋派。その操作は瞬く間に署員間でトレンドとして定着した。&br()たっての希望で[[赤城署長>[[赤城　煉]]率いる南署員となった。|
|南署||[[オルカ　トヴォロ]]|おるか　とヴぉろ|1&small(){&openclose2(show=※){&br()降格処分}}&br()&small(){SWAT}2|[[キセキの世代>ロスサントス警察#キセキの世代]]&br()チームPons&br()市民なんでも課|○|'23/08/20|キセキの世代の一人。誰に対してもタメ語で話す。本人の希望により2024年6月に南署へ異動した。&br()空腹管理があまりに下手で1日2回餓死する。(救急隊よりあと2回餓死したら食事訓練のため入院させると言われている)&br()情報漏洩疑惑や[[犯罪者>アドミゲス・ハン]]の家へ居候していた責任を取り2024年10月ランク1へ降格&br()現在、無期限休眠中|
|南署||[[職無　ニトロ]]|しょくなし　にとろ|1&br()&small(){SWAT}2|[[ゆとり世代>ロスサントス警察#ゆとり世代]]&br()チル課 課長&br()後方支援部隊|○|'23/10/31|積極的に座学をし、教えられたことはメモする努力家。事務作業など地道なことを率先してする。&br()さぶ郎とは同じ時期に町に来た同期で仲が良く、偶然にも職業体験がすべて一緒の腐れ縁。&br()つぼ浦を師匠と呼び慕っているのが玉に瑕。[[花沢　まるん]]を尊敬し、自ら希望して花沢とバディを組んでいる。最近はヘリの練習にも取り組み、腕を上げている。&br()'24/10/7(Mon)、たった一人で餡ブレラやALLINなどの強大ギャングから一人で街を護っていたとの噂がある。|
|南署||[[ヤミー　エンデバー]]|やみー　えんでばー|1|[[第2世代>ロスサントス警察#第2世代]]&br()生活安全課&br()コールセンター&br()メンケア課|○|'24/04/10|第2世代の一人。白市民に知り合いが多く、飲食店等を巡りつつパトロールを良くしている。&br()暇だと思われた方が市民から連絡がくると考え、忙しくても暇だと答えたりする、お困り事や初心者案内など率先して市民の為に動いている。&br()[[キャップ>ましゃかり　トラボルタ]]の名前を[[ギャングボス>アルフォート　ウェスカー]]に言う事が最大の侮蔑になるとは知らず、口プが強い「戦闘員ヤミー エンデバー」という言葉が生まれた。&br()コールセンター業務をすることもあるが、あくまでも本人ではなく別人が対応しているらしい、口が回るのでカスハラにも強い。|
|南署||[[亀有　大吉]]|かめあり　だいきち|1|[[生命の世代>ロスサントス警察#生命の世代]]&br()チャリ課|○|'24/06/26|[[竹井　勝痔]]以来2人目の警察体験リベンジ合格者。大型の銃撃戦が得意ではない・市民対応や小型犯罪中心で対応したいという理由から南署配属になった。&br()[[ヒロ　ヤマモト]]とは奇肉屋でも同期である。&br()無線応答が快活であったことで初対面の[[青井　らだお]]に絶賛された。|
|南署||[[赤兎　がみとも]]|あかうさ　がみとも|1|[[生命の世代>ロスサントス警察#生命の世代]]|○|'24/06/26|[[救急救命隊>ロスサントス救急救命隊]]と警察を兼任している。警察の最年少記録を更新。（採用当時0歳）&br()救急隊と同じく市民対応中心の勤務を希望し、友人でもある南副署長[[花沢　まるん]]へ相談のうえ[[赤城署長>赤城　煉]]に自ら志願して南署入りした。|
|南署||[[ゴリ田　ゴリ男]]|ごりた　ごりお|1|[[生命の世代>ロスサントス警察#生命の世代]]|○|'24/07/05| 警察の中で最年長90歳警官。市民対応が好きな好好爺だが、一対一じゃないと話せず無線には入らない主義の人見知りでもある。年一起床も珍しくなく言動は常に新人。|
|南署||[[元難波　芽久未]]|もとなんば　めぐみ|1||○|'25/03/21|[[赤兎　がみとも]]に続く救急隊と警察兼業。&br()基本的に警察ジョブでの市民対応のみとして専念する。|
|南署||[[B　ボタン]]|びー　ぼたん|1||○|'25/06/21|故郷のボタン星を追放されたボタン王国の王子という[[どこか>ブロッコリー　斎藤]]で聞いたような出自。警察体験期間中、[[何故か>ぎちょう・じょばぁーな]][[MOZU]]に絡まれてしまった。|
|北署|&color(#893BF0){&bold(){北署}} &color(#3B4EF0){&bold(){署長}}|[[キーモット　ホームズ]]|きーもっと　ほーむず|6|麻薬取締局|○|'22/09/02|天性のノンデリ。略して“キモセン”（&bold(){キ}ー&bold(){モ}ット&bold(){先}輩）。張り込みが大の得意。&br()平気で何時間も張り込みをしていたり、薬の売人や付近の草むらに変装をして待ち構えたりするなど、度々突飛な作戦を仕掛けており敵味方問わずキモがられている。&br()マトリのKと呼ばれ花摘みや薬物売買の検挙が多く、それゆえにギャングの恨みを頻繁に買っている。&br()北署長の座を手にしてから2回、署長の座を失った事がある。|
|北署|北署 &color(#3B4EF0){副署長}|[[きらりんぶい☆　なずぴ(10)]]|きらりんぶい　なずぴ|5|[[ゆとり世代>ロスサントス警察#ゆとり世代]]&br()[[特殊部隊Dogs>https://w.atwiki.jp/streamergta5/pages/186.html#Dogs]]|○|'23/11/02|北署署長と同じく張り込み、マトリが得意な天真爛漫な10歳☆。10歳とは思えないメンタルを持つ。&br()事件対応では警察部隊を指揮するIGL能力が高く、ヘリブレードも駆使して検挙を行う。撃ち合いも強いが、車の運転は苦手。&br()Dogsとして[[後藤　れむ]]と[[二十日　ネル]]を慕っている。かつてはバディかつ同じDogs隊員だった[[神子田　頼]]と共に様々な作戦を模索し実行していた。マトリのKに次ぐマトリのNでもある。|
|北署|北署 副官|[[伊勢　えびす]]|いせ　えびす|4|[[最悪の世代>ロスサントス警察#最悪の世代]]&br()チャリ課&br()チル課&br()チームPons&br()ミスリ課&br()科捜研&br()空挺部隊&br()&link_anchor(police_kaiju,page=犬　ルリ){怪獣部隊}：怪獣2号|○|'24/01/28|最悪の世代の一人。銃撃戦が得意で、事後処理から血痕採取まで何でもこなすオールラウンダー。&br()血痕採取の情熱が変態レベルで、現場との3往復は当たり前。RTA in Japan血痕採取部門に出場したいらしい。血痕の取得数が50になった時はハイテンションになっていた。&br()皇帝([[ニックス　リア]])発案の空挺部隊に心酔し、パラシュート練習をしては落下速度・距離・時間等の研究を怠らない。&br()[[花沢　まるん]]のようなサブIGL、[[青井　らだお]]のようなヘリ乗りを目標にしている。&br()かねてから北署からのラブコールを受けていたが、異動は上官になってから受けるとしていた。24/11/05にランク4になったため、正式に北署に配属が決まった。|
